"109年04月07日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","2,951,316","1,221","58,893,736","20.05","20.25","19.80","20.05","+","0.15","20.00","17","20.05","27","7.51",
"1203","味王","166,509","70","4,388,031","26.45","26.55","26.30","26.30","-","0.15","26.30","6","26.50","3","13.70",
"1210","大成","3,023,924","1,868","112,382,301","37.45","37.55","36.95","37.05"," ","0.00","37.05","17","37.10","7","12.69",
"1213","大飲","37,065","14","198,541","5.22","5.72","5.21","5.72","+","0.52","5.29","3","5.69","2","",
"1215","卜蜂","930,229","778","55,520,054","59.70","59.90","59.30","59.60","+","0.40","59.50","54","59.60","1","10.92",
"1216","統一","14,621,954","6,097","1,019,675,895","70.30","70.90","68.80","69.00"," ","0.00","68.90","238","69.00","103","20.60",
"1217","愛之味","3,783,004","1,143","26,273,218","7.02","7.03","6.91","6.91","-","0.04","6.91","33","6.94","16","69.10",
"1218","泰山","2,169,750","876","49,762,050","22.95","23.30","22.70","23.00","+","0.50","23.00","22","23.05","15","19.17",
"1219","福壽","8,283","150","149,955","18.25","18.25","18.05","18.05","-","0.20","18.00","1","18.10","36","28.65",
"1220","台榮","139,830","66","1,421,583","10.20","10.25","10.10","10.20"," ","0.00","10.15","1","10.20","4","14.37",
"1225","福懋油","173,004","125","5,910,136","34.35","34.70","33.85","34.25"," ","0.00","34.20","1","34.25","5","22.10",
"1227","佳格","1,596,744","1,309","101,671,855","64.90","64.90","62.70","63.80","-","0.10","63.60","5","63.80","55","16.97",
"1229","聯華","5,583,621","2,681","214,023,185","38.25","38.50","38.15","38.30","+","0.35","38.30","118","38.35","64","15.20",
"1231","聯華食","282,775","242","11,047,463","39.00","39.45","38.95","39.10","+","0.25","39.05","7","39.10","4","13.03",
"1232","大統益","108,232","137","12,205,216","113.00","114.00","112.00","113.00","+","1.00","112.50","2","113.00","12","18.56",
"1233","天仁","30,000","21","1,013,750","33.90","34.00","33.60","33.80","+","0.25","33.80","2","33.90","1","19.54",
"1234","黑松","55,495","41","1,691,270","30.20","30.60","30.20","30.55","+","0.40","30.55","1","30.75","1","14.48",
"1235","興泰","263,000","42","6,200,550","23.80","23.90","23.50","23.70","-","0.10","23.50","10","23.70","3","48.37",
"1236","宏亞","21,025","15","219,935","10.50","10.50","10.40","10.45","+","0.05","10.45","2","10.50","5","69.67",
"1256","鮮活果汁-KY","86,557","153","15,398,703","177.50","179.50","176.00","177.50","+","3.00","177.00","1","178.00","5","10.96",
"1702","南僑","322,497","268","13,559,967","42.50","42.50","41.85","42.10","+","0.25","42.10","6","42.15","11","10.79",
"1737","臺鹽","308,806","232","9,020,380","29.35","29.35","29.10","29.25","+","0.20","29.15","18","29.25","9","16.91",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

