"109年05月06日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,455,917","599","31,347,455","21.65","21.70","21.35","21.35","-","0.20","21.35","140","21.50","3","8.00",
"1203","味王","344,448","222","9,353,104","27.90","27.90","26.85","27.40","-","0.20","27.40","5","27.45","3","14.27",
"1210","大成","3,930,114","2,509","164,917,569","42.25","42.50","41.50","41.50","-","0.45","41.50","90","41.55","4","14.21",
"1213","大飲","1","1","5","--","--","--","--"," ","0.00","5.50","3","6.04","2","",
"1215","卜蜂","4,075,182","2,345","273,711,416","67.60","67.80","66.20","67.00","+","1.90","67.00","44","67.10","26","12.27",
"1216","統一","9,809,574","4,477","684,286,180","70.20","70.50","69.10","69.70","-","0.30","69.60","14","69.70","219","20.81",
"1217","愛之味","4,997,184","1,408","36,015,982","7.17","7.26","7.14","7.17","+","0.06","7.17","3","7.18","7","71.70",
"1218","泰山","1,208,910","687","29,013,309","23.80","24.30","23.70","23.70","-","0.05","23.70","41","23.75","2","19.75",
"1219","福壽","57,146","32","1,053,536","18.55","18.55","18.20","18.55","-","0.15","18.55","3","18.65","3","29.44",
"1220","台榮","435,000","80","4,623,100","10.70","10.75","10.55","10.60","-","0.10","10.50","11","10.60","22","14.93",
"1225","福懋油","92,711","70","3,487,804","37.85","37.85","37.40","37.55"," ","0.00","37.55","3","37.60","1","24.23",
"1227","佳格","1,309,234","1,003","85,003,447","65.10","65.40","64.30","65.00","-","0.60","65.00","5","65.10","40","17.29",
"1229","聯華","10,339,543","5,572","463,443,499","45.00","46.00","43.85","43.90","-","0.85","43.85","163","43.90","5","17.42",
"1231","聯華食","299,990","234","12,425,429","41.35","41.50","41.20","41.50","+","0.15","41.40","9","41.50","21","13.83",
"1232","大統益","40,695","62","4,754,315","118.00","118.00","116.00","117.50","+","0.50","116.50","8","117.50","10","19.92",
"1233","天仁","19,001","20","674,337","35.90","36.00","35.00","36.00","-","0.05","35.60","2","35.75","1","20.81",
"1234","黑松","52,221","41","1,670,493","32.15","32.15","31.90","32.05","-","0.10","32.05","1","32.15","1","16.27",
"1235","興泰","67,000","31","1,764,000","26.05","26.70","25.90","26.35","-","0.05","26.35","3","26.55","2","53.78",
"1236","宏亞","20,982","38","255,823","12.30","12.30","12.10","12.20","-","0.10","12.20","14","12.30","23","81.33",
"1256","鮮活果汁-KY","32,550","87","6,521,818","201.00","201.00","199.50","201.00"," ","0.00","200.00","1","201.00","1","12.41",
"1702","南僑","186,807","153","8,246,466","44.40","44.40","44.00","44.05","-","0.30","44.05","5","44.10","10","11.29",
"1737","臺鹽","312,712","175","9,641,474","31.00","31.00","30.65","30.80","-","0.20","30.80","3","30.85","3","17.80",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

