"109年05月22日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,120,692","576","24,693,041","22.10","22.20","21.95","21.95","-","0.25","21.95","81","22.00","6","43.04",
"1203","味王","106,379","86","3,006,172","28.20","28.50","27.80","28.05","-","0.65","28.05","5","28.10","3","14.61",
"1210","大成","2,784,163","1,601","120,969,631","43.90","44.00","43.15","43.20","-","0.80","43.20","6","43.25","29","14.30",
"1213","大飲","51,999","35","309,104","5.90","6.03","5.89","6.03","+","0.09","5.94","4","6.03","1","",
"1215","卜蜂","1,991,562","1,343","142,620,907","71.20","72.00","70.60","71.50","+","0.30","71.50","5","71.60","24","13.17",
"1216","統一","11,194,201","5,435","811,104,616","73.00","73.30","71.80","71.90","-","0.40","71.80","31","71.90","5","22.47",
"1217","愛之味","2,211,702","762","15,725,497","7.15","7.20","7.06","7.07","-","0.10","7.07","22","7.09","13","58.92",
"1218","泰山","1,369,002","769","33,156,035","24.45","24.65","23.80","23.85","-","0.45","23.85","1","23.95","70","19.23",
"1219","福壽","84,007","47","1,614,381","19.20","19.30","19.05","19.05","-","0.30","19.05","8","19.10","1","14.01",
"1220","台榮","83,938","43","887,442","10.65","10.65","10.55","10.60"," ","0.00","10.50","39","10.60","14","14.13",
"1225","福懋油","116,142","98","4,255,180","37.05","37.05","36.35","36.35","-","1.00","36.35","28","36.75","1","23.45",
"1227","佳格","1,292,816","1,090","84,664,488","66.20","66.50","65.00","65.00","-","1.80","65.00","192","65.10","13","18.26",
"1229","聯華","2,831,879","1,841","118,094,510","41.90","42.00","41.50","41.55","-","0.50","41.50","221","41.55","12","23.61",
"1231","聯華食","193,620","140","8,051,350","41.65","41.70","41.40","41.50","-","0.15","41.50","7","41.55","5","14.16",
"1232","大統益","24,099","50","2,842,682","119.00","119.00","117.50","117.50","-","1.50","117.50","19","118.00","2","19.92",
"1233","天仁","12,200","14","437,249","36.10","36.10","35.65","35.65","-","0.40","35.65","3","36.00","1","27.01",
"1234","黑松","74,200","57","2,362,659","32.10","32.10","31.75","31.75","-","0.45","31.75","3","31.95","1","16.12",
"1235","興泰","5,228","8","133,624","25.60","25.60","25.55","25.55","X","0.00","25.15","6","25.70","3","36.50",
"1236","宏亞","48,005","26","568,410","12.00","12.00","11.75","11.80","-","0.10","11.80","7","11.90","5","62.11",
"1256","鮮活果汁-KY","48,058","140","9,781,291","206.50","206.50","202.00","203.50","-","3.00","203.00","2","203.50","1","14.68",
"1702","南僑","194,052","140","8,580,990","44.35","44.50","44.00","44.00","-","0.30","44.00","23","44.05","1","12.90",
"1737","臺鹽","326,049","162","10,094,419","31.10","31.25","30.80","30.85","-","0.30","30.80","28","30.85","2","19.53",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

