"109年04月30日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","2,902,907","1,170","63,060,751","21.60","21.85","21.50","21.85","+","0.50","21.80","111","21.85","23","8.18",
"1203","味王","113,055","88","3,122,260","27.45","27.75","27.40","27.70","+","0.15","27.70","1","27.75","10","14.43",
"1210","大成","3,825,856","2,241","158,352,448","41.65","41.75","41.10","41.45"," ","0.00","41.45","5","41.50","85","14.20",
"1213","大飲","20,405","22","120,030","5.59","5.99","5.59","5.97","X","0.00","5.78","3","5.97","5","",
"1215","卜蜂","1,018,586","668","64,271,647","63.90","63.90","62.30","63.10","+","0.10","63.10","31","63.20","10","11.56",
"1216","統一","10,128,339","4,866","706,418,839","69.20","70.00","69.20","69.50","+","0.50","69.50","76","69.90","11","20.75",
"1217","愛之味","2,337,599","726","16,763,067","7.20","7.20","7.15","7.16","+","0.02","7.16","37","7.17","76","71.60",
"1218","泰山","1,086,600","611","25,722,853","23.70","23.90","23.50","23.55","-","0.15","23.55","8","23.60","5","19.62",
"1219","福壽","102,502","66","1,917,033","18.65","18.75","18.65","18.70","+","0.05","18.65","3","18.70","4","29.68",
"1220","台榮","264,000","100","2,806,650","10.70","10.70","10.60","10.60"," ","0.00","10.60","48","10.65","68","14.93",
"1225","福懋油","189,558","146","7,370,493","39.00","39.20","38.60","38.90","+","0.20","38.90","2","38.95","3","25.10",
"1227","佳格","1,301,298","943","87,832,544","67.60","67.80","67.20","67.30"," ","0.00","67.30","16","67.60","19","17.90",
"1229","聯華","5,305,554","3,116","227,973,890","43.30","43.40","42.60","43.10","+","0.20","43.10","12","43.20","11","17.10",
"1231","聯華食","334,897","274","13,812,593","41.50","41.50","41.00","41.25","+","0.10","41.25","12","41.30","20","13.75",
"1232","大統益","68,629","88","8,044,722","116.50","118.00","116.50","118.00","+","2.00","117.50","6","118.00","21","20.00",
"1233","天仁","57,180","48","2,041,257","35.20","36.05","35.15","36.05","+","0.90","36.05","1","36.10","3","20.84",
"1234","黑松","140,850","107","4,564,569","32.40","32.70","32.05","32.40","+","0.10","32.30","4","32.40","4","15.36",
"1235","興泰","84,750","26","2,227,873","26.00","26.35","26.00","26.30","+","0.30","26.05","1","26.25","2","53.67",
"1236","宏亞","53,126","44","667,538","12.55","12.70","12.35","12.70","+","0.15","12.60","1","12.70","5","84.67",
"1256","鮮活果汁-KY","88,316","134","17,904,302","200.00","204.00","200.00","203.00","+","4.00","203.00","14","203.50","1","12.53",
"1702","南僑","357,909","282","16,060,465","45.00","45.30","44.35","45.30","+","1.10","45.25","3","45.30","3","11.62",
"1737","臺鹽","346,191","172","10,797,471","31.05","31.30","31.05","31.15","+","0.15","31.15","1","31.20","1","18.01",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

