"109年05月26日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","969,223","467","21,579,767","22.40","22.40","22.15","22.30","+","0.30","22.25","2","22.30","17","43.73",
"1203","味王","25,373","35","714,059","28.15","28.25","28.00","28.05","-","0.05","28.05","3","28.10","6","14.61",
"1210","大成","2,844,278","1,654","126,218,516","44.45","44.80","44.10","44.20","-","0.05","44.20","61","44.25","14","14.64",
"1213","大飲","0","0","0","--","--","--","--"," ","0.00","5.66","2","6.07","1","",
"1215","卜蜂","1,721,576","1,264","125,805,348","73.50","73.60","72.40","73.00","-","0.70","72.90","28","73.00","16","13.44",
"1216","統一","7,717,692","3,355","561,378,499","72.50","73.20","72.10","72.30","+","0.50","72.30","36","72.40","58","22.59",
"1217","愛之味","1,239,645","415","8,784,133","7.10","7.11","7.06","7.09","+","0.04","7.08","11","7.09","4","59.08",
"1218","泰山","1,449,872","664","34,972,178","24.20","24.35","23.90","23.90"," ","0.00","23.90","45","24.00","101","19.27",
"1219","福壽","61,382","48","1,177,208","19.10","19.30","19.00","19.10","+","0.10","19.10","6","19.15","17","14.04",
"1220","台榮","227,021","95","2,452,126","10.80","10.90","10.70","10.80"," ","0.00","10.75","11","10.80","22","14.40",
"1225","福懋油","86,061","72","3,201,157","36.90","37.35","36.90","37.05","+","0.25","36.90","2","37.05","1","23.90",
"1227","佳格","952,572","789","63,557,432","66.20","67.00","66.10","66.70","+","1.30","66.50","17","66.70","1","18.74",
"1229","聯華","2,158,487","1,177","90,641,904","41.90","42.25","41.80","41.95","+","0.10","41.95","4","42.00","43","23.84",
"1231","聯華食","297,598","200","12,440,695","41.50","41.95","41.50","41.85","+","0.35","41.80","11","41.85","1","14.28",
"1232","大統益","19,789","44","2,339,891","117.50","118.50","117.50","118.50","+","1.00","118.00","11","118.50","17","20.08",
"1233","天仁","26,362","22","948,682","35.90","36.05","35.90","36.00","+","0.30","35.95","2","36.05","4","27.27",
"1234","黑松","65,252","51","2,103,814","32.15","32.35","32.10","32.25","+","0.25","32.20","4","32.25","2","16.37",
"1235","興泰","21,000","15","536,650","25.40","25.80","25.40","25.80","-","0.05","25.80","1","26.10","3","36.86",
"1236","宏亞","28,025","21","333,655","11.90","11.95","11.90","11.90"," ","0.00","11.90","1","11.95","3","62.63",
"1256","鮮活果汁-KY","58,818","94","12,241,227","208.00","209.50","206.00","206.50","-","0.50","206.00","3","206.50","1","14.90",
"1702","南僑","493,513","335","22,251,387","44.75","45.30","44.55","45.25","+","0.75","45.20","2","45.25","5","13.27",
"1737","臺鹽","235,474","144","7,363,584","31.10","31.40","31.05","31.25","+","0.15","31.20","4","31.25","12","19.78",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

