"109年05月07日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,727,938","675","37,387,879","21.45","21.90","21.30","21.85","+","0.50","21.80","12","21.85","5","8.18",
"1203","味王","160,516","103","4,425,525","27.45","27.75","27.10","27.75","+","0.35","27.70","5","27.75","1","14.45",
"1210","大成","2,699,177","1,703","113,531,622","41.70","42.30","41.55","42.25","+","0.75","42.25","1","42.30","46","14.47",
"1213","大飲","8,725","9","49,890","5.53","5.85","5.53","5.85","X","0.00","5.54","3","5.90","2","",
"1215","卜蜂","3,048,353","1,869","206,966,522","67.10","68.50","67.10","68.40","+","1.40","68.40","92","68.50","178","12.53",
"1216","統一","7,778,407","3,216","546,948,684","70.10","70.80","69.90","70.10","+","0.40","70.10","83","70.20","3","20.93",
"1217","愛之味","2,145,233","640","15,467,333","7.22","7.23","7.19","7.21","+","0.04","7.21","81","7.22","93","72.10",
"1218","泰山","903,534","454","21,708,513","23.85","24.20","23.70","24.20","+","0.50","24.15","11","24.20","73","20.17",
"1219","福壽","21,758","24","405,957","18.50","18.75","18.50","18.70","+","0.15","18.70","3","18.75","6","29.68",
"1220","台榮","198,101","48","2,100,170","10.65","10.65","10.50","10.65","+","0.05","10.60","20","10.65","38","15.00",
"1225","福懋油","131,002","110","4,908,824","37.40","38.20","36.90","38.15","+","0.60","38.10","5","38.15","2","24.61",
"1227","佳格","1,370,208","982","91,120,959","65.00","67.30","65.00","67.10","+","2.10","67.00","8","67.10","5","17.85",
"1229","聯華","4,389,049","2,536","195,147,995","43.90","45.00","43.70","45.00","+","1.10","44.95","1","45.00","159","17.86",
"1231","聯華食","246,265","205","10,235,917","41.60","41.80","41.20","41.70","+","0.20","41.65","10","41.70","9","13.90",
"1232","大統益","35,821","47","4,198,199","117.00","118.00","116.00","118.00","+","0.50","117.00","16","118.00","30","20.00",
"1233","天仁","26,584","20","958,811","35.80","36.30","35.80","36.10","+","0.10","36.10","3","36.15","1","20.87",
"1234","黑松","98,892","78","3,172,799","31.95","32.50","31.85","32.50","+","0.45","32.40","1","32.50","7","16.50",
"1235","興泰","4,964","7","131,792","26.40","26.85","26.40","26.85","+","0.50","26.30","1","26.95","4","54.80",
"1236","宏亞","10,706","21","131,871","12.30","12.40","12.15","12.35","+","0.15","12.25","6","12.35","16","82.33",
"1256","鮮活果汁-KY","23,160","36","4,680,558","201.50","202.50","201.00","202.50","+","1.50","202.50","4","203.00","7","14.61",
"1702","南僑","243,593","214","10,865,200","44.10","44.90","44.10","44.80","+","0.75","44.70","7","44.80","2","11.49",
"1737","臺鹽","160,316","145","4,971,094","31.15","31.20","30.80","31.05","+","0.25","31.00","5","31.05","2","19.65",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

