"109年04月28日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,309,953","507","27,528,013","21.00","21.10","20.95","21.00","+","0.05","20.95","81","21.00","17","7.87",
"1203","味王","25,610","37","699,927","27.40","27.40","27.30","27.35","-","0.10","27.30","11","27.35","12","14.24",
"1210","大成","3,884,493","2,201","156,973,006","40.05","40.70","39.95","40.70","+","0.80","40.65","5","40.70","30","13.94",
"1213","大飲","2,010","7","11,964","5.95","5.96","5.95","5.96","+","0.17","5.73","2","6.01","1","",
"1215","卜蜂","819,750","624","51,236,450","62.00","62.90","62.00","62.90","+","0.90","62.80","13","62.90","2","11.52",
"1216","統一","8,062,614","4,081","550,589,264","68.00","68.60","67.90","68.30","+","0.60","68.30","102","68.40","11","20.39",
"1217","愛之味","9,721,900","1,729","70,220,127","7.12","7.35","7.08","7.14","+","0.05","7.14","65","7.15","10","71.40",
"1218","泰山","1,286,127","573","30,337,817","23.40","23.90","23.20","23.50","+","0.20","23.50","43","23.65","8","19.58",
"1219","福壽","42,950","38","802,213","18.80","18.80","18.50","18.70","-","0.10","18.60","8","18.70","2","29.68",
"1220","台榮","260,009","89","2,738,146","10.45","10.60","10.45","10.55","+","0.10","10.55","3","10.60","26","14.86",
"1225","福懋油","161,433","105","6,183,788","38.40","38.60","38.20","38.20","-","0.10","38.20","6","38.30","1","24.65",
"1227","佳格","1,672,484","974","112,145,888","66.50","67.40","66.40","67.30","+","1.40","67.20","5","67.30","9","17.90",
"1229","聯華","4,985,126","2,664","207,942,592","41.40","42.00","41.30","42.00","+","0.80","41.95","70","42.00","330","16.67",
"1231","聯華食","253,622","180","10,377,070","41.00","41.05","40.75","40.90","-","0.10","40.90","3","40.95","5","13.63",
"1232","大統益","22,372","38","2,599,524","117.00","117.00","116.00","116.00"," ","0.00","116.00","8","116.50","8","19.05",
"1233","天仁","32,214","32","1,116,056","34.75","34.90","34.30","34.90"," ","0.00","34.85","2","35.00","1","20.17",
"1234","黑松","72,100","56","2,267,944","31.10","31.80","31.05","31.65","+","0.65","31.60","1","31.65","9","15.00",
"1235","興泰","131,567","48","3,360,108","25.80","25.80","25.15","25.75","+","0.25","25.55","10","25.75","3","52.55",
"1236","宏亞","58,256","46","708,676","11.95","12.50","11.95","12.35","+","0.45","12.25","2","12.30","2","82.33",
"1256","鮮活果汁-KY","56,475","75","10,983,550","193.00","196.00","193.00","196.00","+","3.00","195.50","3","196.00","2","12.10",
"1702","南僑","197,127","228","8,526,158","42.90","43.45","42.90","43.45","+","0.70","43.45","10","43.50","25","11.14",
"1737","臺鹽","347,759","140","10,716,135","30.95","30.95","30.70","30.75","+","0.05","30.70","28","30.75","2","17.77",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

