"109年04月27日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,389,939","564","29,083,056","20.95","21.00","20.80","20.95","+","0.20","20.90","96","20.95","31","7.85",
"1203","味王","145,436","81","3,966,198","27.25","27.50","27.15","27.45","+","0.20","27.30","1","27.45","10","14.30",
"1210","大成","2,393,554","1,426","95,394,627","39.80","40.00","39.55","39.90","+","0.10","39.85","66","39.90","3","13.66",
"1213","大飲","1,101","7","6,360","5.79","5.79","5.79","5.79","-","0.20","5.82","3","5.99","1","",
"1215","卜蜂","591,887","398","36,548,330","61.60","62.00","61.30","62.00","+","0.50","61.90","3","62.00","82","11.36",
"1216","統一","8,207,757","3,199","556,450,476","67.50","68.10","67.20","67.70","+","1.10","67.70","335","67.80","3","20.21",
"1217","愛之味","2,719,240","849","19,377,358","7.17","7.18","7.09","7.09","-","0.01","7.09","26","7.11","5","70.90",
"1218","泰山","946,068","427","21,899,323","23.10","23.30","23.00","23.30","+","0.25","23.25","25","23.30","31","19.42",
"1219","福壽","80,952","49","1,502,350","18.45","18.80","18.40","18.80","+","0.35","18.75","2","18.80","6","29.84",
"1220","台榮","110,002","57","1,149,020","10.45","10.50","10.40","10.45","+","0.05","10.45","5","10.50","63","14.72",
"1225","福懋油","340,492","193","13,051,743","38.80","38.80","37.80","38.30","+","0.55","38.30","9","38.40","1","24.71",
"1227","佳格","1,426,450","905","94,575,200","66.10","66.90","65.90","65.90"," ","0.00","65.90","59","66.10","1","17.53",
"1229","聯華","3,733,818","1,800","153,722,351","41.10","41.30","40.80","41.20","+","0.45","41.20","28","41.25","98","16.35",
"1231","聯華食","290,834","233","11,848,944","40.80","41.00","40.45","41.00","+","0.45","40.70","11","41.00","34","13.67",
"1232","大統益","55,514","88","6,424,624","115.50","116.00","115.50","116.00","+","0.50","115.50","2","116.50","7","19.05",
"1233","天仁","17,090","15","595,841","34.90","34.95","34.70","34.90","+","0.60","34.80","2","34.95","4","20.17",
"1234","黑松","99,024","67","3,077,700","30.70","31.20","30.70","31.00","+","0.30","31.00","2","31.05","1","14.69",
"1235","興泰","137,766","49","3,469,127","24.90","25.60","24.75","25.50","+","0.70","25.35","2","25.55","2","52.04",
"1236","宏亞","20,003","16","238,036","11.85","11.95","11.80","11.90","+","0.05","11.90","1","11.95","6","79.33",
"1256","鮮活果汁-KY","17,102","56","3,285,788","190.50","193.00","190.50","193.00","+","3.00","192.50","1","193.50","2","11.91",
"1702","南僑","237,431","270","10,106,318","42.10","42.90","42.05","42.75","+","0.80","42.75","11","42.90","11","10.96",
"1737","臺鹽","239,886","162","7,364,639","30.60","30.80","30.60","30.70","+","0.25","30.70","6","30.75","53","17.75",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

