"109年07月02日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,354,982","501","31,187,436","23.00","23.15","22.90","23.00","+","0.05","23.00","25","23.05","61","45.10",
"1203","味王","170,937","105","5,030,918","30.00","30.00","29.20","29.95","+","0.05","29.85","1","30.00","5","15.60",
"1210","大成","1,685,046","1,055","73,114,618","43.00","43.60","42.95","43.60","+","0.65","43.60","30","43.65","26","14.44",
"1213","大飲","23,154","11","138,808","5.95","6.00","5.95","6.00"," ","0.00","5.86","3","6.00","4","",
"1215","卜蜂","1,379,749","870","95,459,652","69.00","69.70","68.80","68.90","+","0.20","68.90","9","69.00","24","12.69",
"1216","統一","9,150,360","4,906","657,776,921","71.70","72.60","71.30","72.40","+","1.20","72.30","124","72.40","152","22.62",
"1217","愛之味","1,505,989","511","11,425,467","7.58","7.62","7.56","7.57","+","0.02","7.57","20","7.58","8","63.08",
"1218","泰山","2,776,629","732","65,215,131","23.30","23.70","23.15","23.35","+","0.20","23.35","23","23.40","1","18.83",
"1219","福壽","82,240","74","1,748,197","21.10","21.40","21.10","21.30"," ","0.00","21.30","3","21.40","37","15.66",
"1220","台榮","164,000","50","1,842,150","11.25","11.30","11.20","11.25","+","0.05","11.25","20","11.30","78","15.00",
"1225","福懋油","89,103","57","3,390,588","37.70","38.20","37.55","38.15","+","0.45","38.15","1","38.20","3","24.61",
"1227","佳格","1,369,320","805","88,077,336","63.90","64.90","63.70","64.20","+","0.50","64.20","25","64.50","14","18.03",
"1229","聯華","2,551,925","1,213","109,498,325","42.90","43.00","42.75","42.90","+","0.15","42.90","45","42.95","13","24.38",
"1231","聯華食","172,226","147","7,543,663","43.95","43.95","43.65","43.80"," ","0.00","43.75","24","43.80","8","14.95",
"1232","大統益","123,381","102","15,280,811","123.00","124.50","123.00","124.00","+","1.50","124.00","2","124.50","19","21.02",
"1233","天仁","27,085","28","1,006,377","36.70","37.45","36.70","37.40","+","0.70","37.00","1","37.40","2","28.33",
"1234","黑松","62,690","48","2,079,456","33.00","33.25","33.00","33.25","+","0.30","33.15","1","33.25","2","16.88",
"1235","興泰","5,000","4","128,500","25.70","25.70","25.70","25.70"," ","0.00","25.65","1","25.80","8","36.71",
"1236","宏亞","66,770","60","843,023","12.60","12.90","12.50","12.60"," ","0.00","12.55","1","12.60","5","66.32",
"1256","鮮活果汁-KY","20,109","57","4,204,890","208.50","209.50","208.50","209.00","+","0.50","209.00","3","209.50","5","15.08",
"1702","南僑","216,160","193","9,735,750","44.65","45.25","44.65","45.00","+","0.40","45.00","66","45.10","2","13.20",
"1737","臺鹽","170,774","137","5,336,558","31.15","31.35","31.15","31.35","+","0.05","31.25","26","31.35","29","19.84",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

