"109年04月01日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","8,022,512","3,123","161,283,785","20.20","20.50","19.85","20.00","+","0.05","20.00","90","20.05","5","7.49",
"1203","味王","130,407","57","3,417,521","26.20","26.30","26.00","26.30","+","0.10","26.20","21","26.30","9","13.70",
"1210","大成","3,857,664","2,251","143,678,571","37.00","37.85","36.70","36.95"," ","0.00","36.90","54","36.95","434","12.65",
"1213","大飲","34,278","18","202,218","5.85","6.06","5.70","5.70","-","0.15","5.70","2","6.09","4","",
"1215","卜蜂","1,728,876","1,193","103,715,397","60.00","61.00","59.10","59.20","+","0.10","59.20","38","59.30","1","10.84",
"1216","統一","10,920,723","4,846","719,820,628","66.10","67.00","65.10","65.10","-","0.50","65.10","110","65.20","40","19.43",
"1217","愛之味","2,799,277","1,040","19,363,072","7.00","7.00","6.87","6.89","+","0.04","6.89","42","6.90","3","68.90",
"1218","泰山","2,624,987","1,234","59,592,296","22.80","23.00","22.35","22.65","-","0.40","22.65","11","22.70","1","18.88",
"1219","福壽","48,347","248","877,772","18.15","18.25","17.90","18.25","+","0.10","18.15","2","18.25","2","28.97",
"1220","台榮","492,100","127","4,942,280","10.05","10.20","9.95","10.15","+","0.10","10.10","29","10.15","16","14.30",
"1225","福懋油","96,483","86","3,142,189","31.75","32.80","31.75","32.65","+","0.65","32.60","1","32.70","5","21.06",
"1227","佳格","2,819,292","1,913","176,338,504","62.40","63.70","61.70","62.00","+","1.00","62.00","20","62.10","12","16.49",
"1229","聯華","13,142,000","7,067","501,346,053","38.00","39.00","37.40","37.90","+","0.65","37.85","27","37.90","73","15.04",
"1231","聯華食","426,587","316","16,603,724","39.50","39.50","38.60","38.90","-","0.15","38.80","3","38.90","5","12.97",
"1232","大統益","179,240","189","20,189,120","110.00","114.00","110.00","112.50","+","3.50","112.50","5","113.00","16","18.47",
"1233","天仁","25,000","22","835,600","33.50","34.00","33.30","34.00","+","0.45","33.50","1","33.75","1","19.65",
"1234","黑松","64,316","64","1,945,104","30.10","30.35","30.10","30.25","+","0.35","30.20","2","30.35","9","14.34",
"1235","興泰","109,000","23","2,560,450","23.30","23.80","23.30","23.70","+","0.10","23.55","3","23.80","2","48.37",
"1236","宏亞","17,000","11","177,350","10.40","10.60","10.40","10.40"," ","0.00","10.40","1","10.55","7","69.33",
"1256","鮮活果汁-KY","44,779","126","7,817,383","174.00","176.00","173.00","175.00","-","1.00","174.50","1","175.00","1","10.80",
"1702","南僑","601,797","468","25,029,989","40.50","42.00","40.50","41.95","+","1.55","41.90","6","41.95","2","10.76",
"1737","臺鹽","481,610","269","13,798,969","28.75","28.80","28.50","28.80","+","0.10","28.70","14","28.80","7","16.65",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

