"109年05月08日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","4,985,730","2,146","111,948,268","22.00","22.85","22.00","22.50","+","0.65","22.50","135","22.55","13","8.43",
"1203","味王","196,212","119","5,503,322","27.90","28.35","27.60","28.05","+","0.30","28.00","2","28.10","5","14.61",
"1210","大成","6,101,202","3,652","261,871,898","42.50","43.40","42.25","43.35","+","1.10","43.30","36","43.35","103","14.85",
"1213","大飲","47,030","31","288,683","5.90","6.30","5.85","6.01","+","0.16","6.01","10","6.02","3","",
"1215","卜蜂","4,365,008","2,897","303,040,130","69.00","70.60","68.40","69.90","+","1.50","69.90","4","70.00","72","12.80",
"1216","統一","7,819,061","4,161","553,748,780","70.20","71.20","70.20","70.90","+","0.80","70.90","80","71.00","20","21.16",
"1217","愛之味","3,271,702","892","23,676,410","7.25","7.27","7.21","7.21"," ","0.00","7.21","115","7.23","76","72.10",
"1218","泰山","2,173,926","853","52,915,772","24.30","24.55","24.05","24.05","-","0.15","24.05","13","24.15","23","20.04",
"1219","福壽","41,881","30","781,333","18.60","18.75","18.60","18.70"," ","0.00","18.70","1","18.75","12","29.68",
"1220","台榮","200,003","48","2,131,731","10.70","10.70","10.65","10.65"," ","0.00","10.60","93","10.65","55","15.00",
"1225","福懋油","121,744","84","4,642,522","38.15","38.60","37.75","37.85","-","0.30","37.85","2","37.95","1","24.42",
"1227","佳格","2,827,113","1,707","186,003,828","67.00","67.10","64.70","65.60","-","1.50","65.50","35","65.60","2","17.45",
"1229","聯華","4,854,992","2,503","219,868,390","45.25","45.80","45.00","45.40","+","0.40","45.35","8","45.40","37","18.02",
"1231","聯華食","364,602","241","15,221,893","41.70","42.00","41.65","41.85","+","0.15","41.85","3","41.90","7","13.95",
"1232","大統益","45,450","56","5,338,100","118.00","118.00","117.00","117.50","-","0.50","117.00","18","118.00","23","19.92",
"1233","天仁","18,201","17","653,246","36.10","36.45","35.60","36.05","-","0.05","35.75","1","36.05","2","20.84",
"1234","黑松","76,941","62","2,484,002","32.40","32.40","32.20","32.25","-","0.25","32.20","3","32.25","7","16.37",
"1235","興泰","15,900","17","424,990","26.50","26.85","26.50","26.80","-","0.05","26.70","2","26.80","1","54.69",
"1236","宏亞","14,503","22","177,534","12.25","12.25","12.20","12.20","-","0.15","12.20","13","12.25","1","81.33",
"1256","鮮活果汁-KY","82,149","148","16,448,098","202.00","202.00","199.00","200.50","-","2.00","200.00","2","201.00","3","14.47",
"1702","南僑","260,002","198","11,722,240","45.50","45.50","45.00","45.05","+","0.25","45.00","3","45.05","2","11.55",
"1737","臺鹽","195,832","143","6,071,641","31.00","31.15","30.95","30.95","-","0.10","30.90","28","31.00","1","19.59",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

