"109年05月18日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,303,600","600","29,154,746","22.15","22.80","22.00","22.30","+","0.30","22.25","47","22.30","8","43.73",
"1203","味王","160,182","96","4,516,314","27.85","28.40","27.85","28.40","+","0.60","28.30","4","28.40","2","14.79",
"1210","大成","6,341,017","3,884","277,289,089","43.15","44.10","43.15","43.90","+","1.10","43.90","1","43.95","54","14.54",
"1213","大飲","1,003","4","5,865","5.85","5.85","5.85","5.85","-","0.11","5.85","7","5.99","1","",
"1215","卜蜂","1,731,538","1,171","122,444,069","70.00","71.20","69.60","71.00","+","0.70","70.90","2","71.00","10","13.08",
"1216","統一","5,906,133","2,769","411,057,758","68.60","70.20","68.60","69.80","+","0.70","69.80","617","69.90","13","21.81",
"1217","愛之味","2,677,385","920","19,230,327","7.10","7.23","7.10","7.18","+","0.12","7.17","5","7.18","10","59.83",
"1218","泰山","2,610,702","1,232","65,106,111","25.10","25.60","24.30","24.35","-","0.45","24.35","9","24.45","10","19.64",
"1219","福壽","189,184","93","3,662,463","19.60","19.60","19.20","19.25","+","0.05","19.25","3","19.30","22","14.15",
"1220","台榮","325,461","118","3,403,390","10.45","10.70","10.40","10.40","-","0.05","10.35","18","10.40","4","13.87",
"1225","福懋油","235,053","122","8,781,285","36.25","37.80","36.25","37.45","+","1.30","37.30","3","37.50","1","24.16",
"1227","佳格","965,870","754","63,972,420","66.10","66.90","65.70","65.70","-","1.30","65.70","51","66.00","1","18.46",
"1229","聯華","2,702,775","1,523","111,917,601","41.30","41.80","40.70","41.55","+","0.30","41.55","34","41.60","34","23.61",
"1231","聯華食","223,047","210","9,162,092","41.10","41.30","40.90","41.00","-","0.05","41.00","8","41.20","1","13.99",
"1232","大統益","64,259","70","7,553,062","118.50","118.50","117.00","117.50"," ","0.00","117.50","5","118.00","5","19.92",
"1233","天仁","19,001","18","677,135","36.00","36.00","35.50","35.55","-","0.25","35.60","4","35.80","1","26.93",
"1234","黑松","27,316","26","870,246","32.10","32.10","31.80","31.80","-","0.10","31.85","3","31.95","1","16.14",
"1235","興泰","8,000","7","200,450","25.10","25.25","25.00","25.25","+","0.05","25.20","1","25.25","1","36.07",
"1236","宏亞","4,100","21","48,806","11.80","11.95","11.80","11.90","-","0.05","11.90","2","12.00","14","62.63",
"1256","鮮活果汁-KY","56,536","105","11,244,736","198.00","199.50","197.50","199.50","+","2.00","199.00","4","199.50","3","14.39",
"1702","南僑","172,003","138","7,556,432","43.65","44.30","43.65","43.90","-","0.30","43.85","3","43.90","1","12.87",
"1737","臺鹽","177,012","122","5,441,260","30.70","30.95","30.65","30.70"," ","0.00","30.70","28","30.75","10","19.43",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

