"109年04月29日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","2,107,171","883","44,981,765","21.10","21.50","21.10","21.35","+","0.35","21.30","85","21.35","15","8.00",
"1203","味王","155,381","82","4,271,588","27.35","27.60","27.30","27.55","+","0.20","27.50","7","27.55","3","14.35",
"1210","大成","6,206,674","3,482","257,822,997","41.10","42.05","40.90","41.45","+","0.75","41.40","340","41.45","16","14.20",
"1213","大飲","908","4","5,245","--","--","--","--"," ","0.00","5.71","3","6.00","2","",
"1215","卜蜂","1,498,533","932","95,038,029","63.20","63.90","62.90","63.00","+","0.10","63.00","72","63.10","5","11.54",
"1216","統一","10,730,437","5,121","744,886,069","68.60","70.00","68.50","69.00","+","0.70","69.00","958","69.20","1","20.60",
"1217","愛之味","2,434,706","816","17,442,069","7.20","7.22","7.14","7.14"," ","0.00","7.14","13","7.15","15","71.40",
"1218","泰山","1,256,594","631","30,013,831","23.60","24.15","23.60","23.70","+","0.20","23.70","50","23.80","5","19.75",
"1219","福壽","62,426","48","1,164,079","18.70","18.70","18.55","18.65","-","0.05","18.60","2","18.65","2","29.60",
"1220","台榮","768,003","120","8,158,280","10.60","10.70","10.55","10.60","+","0.05","10.55","69","10.60","18","14.93",
"1225","福懋油","397,029","239","15,465,570","38.25","39.30","38.05","38.70","+","0.50","38.70","2","38.80","1","24.97",
"1227","佳格","1,046,527","890","70,607,854","67.80","67.90","67.10","67.30"," ","0.00","67.30","1","67.40","1","17.90",
"1229","聯華","6,517,603","3,641","278,704,353","42.20","43.25","42.20","42.90","+","0.90","42.85","6","42.90","35","17.02",
"1231","聯華食","383,939","294","15,790,831","41.15","41.25","40.90","41.15","+","0.25","41.10","11","41.15","2","13.72",
"1232","大統益","58,099","66","6,797,583","117.00","117.50","116.00","116.00"," ","0.00","116.00","20","116.50","7","19.05",
"1233","天仁","21,000","20","736,650","35.30","35.30","34.60","35.15","+","0.25","35.05","2","35.20","1","20.32",
"1234","黑松","367,750","181","11,850,800","31.65","32.45","31.65","32.30","+","0.65","32.20","5","32.35","9","15.31",
"1235","興泰","212,007","56","5,475,082","25.50","26.00","25.50","26.00","+","0.25","25.85","1","26.00","9","53.06",
"1236","宏亞","52,001","39","641,912","12.35","12.55","12.10","12.55","+","0.20","12.45","3","12.50","3","83.67",
"1256","鮮活果汁-KY","87,109","135","17,262,300","195.00","199.50","195.00","199.00","+","3.00","198.50","4","199.00","7","12.28",
"1702","南僑","360,855","305","15,915,457","43.50","44.30","43.50","44.20","+","0.75","44.15","1","44.20","1","11.33",
"1737","臺鹽","233,129","159","7,201,899","30.75","31.00","30.75","31.00","+","0.25","30.90","1","31.00","29","17.92",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

