"109年05月21日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","707,308","356","15,705,599","22.20","22.35","22.05","22.20","+","0.05","22.20","10","22.30","60","43.53",
"1203","味王","153,662","91","4,376,415","28.30","28.70","28.30","28.70","+","0.50","28.70","3","28.75","4","14.95",
"1210","大成","2,566,624","1,813","112,951,246","43.40","44.25","43.40","44.00","+","0.15","44.00","44","44.05","4","14.57",
"1213","大飲","4,627","10","27,342","5.94","5.94","5.94","5.94","+","0.14","5.71","3","5.95","1","",
"1215","卜蜂","1,604,044","1,219","114,094,624","70.80","71.40","70.50","71.20","+","0.40","71.10","10","71.20","2","13.11",
"1216","統一","9,600,745","4,646","692,995,923","71.30","72.70","71.10","72.30","+","1.00","72.30","100","72.40","114","22.59",
"1217","愛之味","5,895,240","999","42,595,059","7.18","7.27","7.14","7.17","+","0.04","7.17","53","7.18","10","59.75",
"1218","泰山","797,452","393","19,394,228","24.35","24.50","24.20","24.30"," ","0.00","24.30","12","24.35","22","19.60",
"1219","福壽","141,316","43","2,723,966","19.35","19.40","19.05","19.35","-","0.05","19.20","1","19.35","6","14.23",
"1220","台榮","95,000","47","1,004,750","10.60","10.60","10.50","10.60","+","0.05","10.55","2","10.60","9","14.13",
"1225","福懋油","85,109","62","3,189,037","37.90","37.90","37.30","37.35","-","0.30","37.35","6","37.40","2","24.10",
"1227","佳格","675,986","570","44,952,060","66.30","66.90","66.20","66.80","+","0.50","66.60","1","66.80","26","18.76",
"1229","聯華","2,203,335","1,229","92,578,339","41.65","42.25","41.55","42.05","+","0.25","42.05","22","42.10","14","23.89",
"1231","聯華食","202,995","176","8,446,722","41.50","41.70","41.45","41.65","+","0.15","41.65","34","41.75","5","14.22",
"1232","大統益","36,264","55","4,301,416","118.50","119.00","118.50","119.00","+","0.50","118.50","20","119.00","14","20.17",
"1233","天仁","9,050","11","325,202","35.50","36.20","35.50","36.05","+","0.25","35.95","1","36.00","5","27.31",
"1234","黑松","20,735","27","664,720","32.00","32.20","32.00","32.20","+","0.35","32.15","1","32.20","3","16.35",
"1235","興泰","333","1","8,325","--","--","--","--"," ","0.00","25.35","2","25.55","1","36.50",
"1236","宏亞","44,045","21","528,162","11.95","12.00","11.90","11.90","+","0.05","11.85","5","12.00","4","62.63",
"1256","鮮活果汁-KY","75,718","131","15,666,472","202.50","210.00","202.50","206.50","+","3.00","206.00","3","207.00","4","14.90",
"1702","南僑","125,770","104","5,558,494","44.00","44.40","44.00","44.30","+","0.35","44.30","6","44.35","8","12.99",
"1737","臺鹽","173,671","106","5,408,947","31.10","31.25","31.05","31.15","+","0.15","31.10","4","31.15","20","19.72",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

