"109年05月13日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,547,707","736","34,563,925","22.40","22.65","22.00","22.60","+","0.10","22.60","18","22.65","12","8.46",
"1203","味王","74,855","41","2,095,015","28.00","28.15","27.85","28.05","+","0.05","28.05","16","28.10","3","14.61",
"1210","大成","2,153,540","1,323","90,586,689","41.80","42.50","41.55","42.35","+","0.20","42.35","34","42.40","3","14.50",
"1213","大飲","1,000","1","6,020","6.02","6.02","6.02","6.02","-","0.03","6.05","6","6.12","1","",
"1215","卜蜂","3,218,738","2,227","228,861,697","70.10","71.90","70.00","71.90","+","0.90","71.80","3","71.90","13","13.24",
"1216","統一","5,800,381","2,656","405,586,835","69.50","70.40","69.30","70.40","+","1.00","70.30","5","70.40","232","21.01",
"1217","愛之味","2,019,300","599","14,333,348","7.12","7.15","7.06","7.10","-","0.02","7.10","6","7.11","1","71.00",
"1218","泰山","5,199,247","2,688","129,893,839","24.65","25.45","24.60","25.00","+","0.60","24.95","27","25.00","106","20.16",
"1219","福壽","41,610","23","772,533","18.50","18.60","18.50","18.60","-","0.05","18.55","9","18.60","92","29.52",
"1220","台榮","81,001","34","858,660","10.60","10.65","10.50","10.65","+","0.10","10.60","17","10.65","28","15.00",
"1225","福懋油","176,145","74","6,669,751","37.75","38.00","37.60","37.80","+","0.15","37.80","1","38.00","1","24.39",
"1227","佳格","1,178,333","910","79,345,471","66.50","68.20","66.20","67.90","+","1.40","67.80","3","67.90","8","18.06",
"1229","聯華","6,992,898","3,682","291,499,366","41.30","42.20","41.10","41.80"," ","0.00","41.80","28","41.85","3","23.75",
"1231","聯華食","174,460","145","7,203,605","41.50","41.55","41.05","41.40","-","0.10","41.40","2","41.50","5","13.80",
"1232","大統益","18,385","28","2,147,621","116.50","117.50","116.00","117.50","+","0.50","117.00","11","117.50","2","19.92",
"1233","天仁","18,699","18","664,017","35.35","35.80","35.35","35.80","-","0.30","35.65","2","36.00","3","27.12",
"1234","黑松","40,648","33","1,294,636","31.90","31.90","31.65","31.90"," ","0.00","31.90","4","32.10","2","16.19",
"1235","興泰","15,649","18","417,827","26.60","26.90","26.60","26.90","-","0.20","26.60","3","27.00","2","38.43",
"1236","宏亞","315,001","56","3,753,662","12.10","12.25","11.85","11.90","-","0.35","11.85","10","11.90","1","62.63",
"1256","鮮活果汁-KY","42,111","144","8,410,311","200.00","200.00","199.00","200.00","-","0.50","199.00","7","200.00","1","14.43",
"1702","南僑","139,550","116","6,213,986","44.70","44.80","44.20","44.80","+","0.10","44.70","1","44.90","1","11.49",
"1737","臺鹽","155,598","87","4,809,641","31.00","31.00","30.85","30.95","-","0.05","30.95","10","31.00","13","19.59",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

