"109年05月20日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","845,801","401","18,820,009","22.30","22.45","22.05","22.15","-","0.15","22.10","39","22.15","7","43.43",
"1203","味王","85,217","50","2,415,676","28.40","28.50","28.15","28.20","-","0.20","28.15","4","28.40","2","14.69",
"1210","大成","4,384,666","2,713","193,396,398","44.75","44.90","43.80","43.85","-","0.95","43.85","5","43.90","24","14.52",
"1213","大飲","13,416","12","78,289","5.76","6.08","5.76","5.80","-","0.05","5.81","1","6.12","2","",
"1215","卜蜂","1,068,214","724","75,753,435","71.00","71.10","70.60","70.80","-","0.20","70.80","23","70.90","3","13.04",
"1216","統一","7,908,847","3,805","562,275,730","71.00","71.30","70.60","71.30","+","1.10","71.20","2","71.30","30","22.28",
"1217","愛之味","1,009,535","341","7,210,083","7.19","7.20","7.12","7.13","-","0.01","7.13","7","7.14","11","59.42",
"1218","泰山","1,044,574","561","25,600,736","24.45","24.90","24.25","24.30","-","0.05","24.30","12","24.35","7","19.60",
"1219","福壽","84,423","55","1,610,469","19.10","19.40","19.00","19.40","+","0.20","19.10","3","19.40","1","14.26",
"1220","台榮","207,000","60","2,183,350","10.50","10.60","10.50","10.55","+","0.05","10.50","47","10.55","15","14.07",
"1225","福懋油","94,000","33","3,556,150","37.80","38.15","37.50","37.65","-","0.15","37.65","2","37.75","21","24.29",
"1227","佳格","815,642","582","54,465,872","67.20","67.20","66.30","66.30","-","0.40","66.30","25","66.50","2","18.62",
"1229","聯華","3,778,985","1,940","158,562,320","42.30","42.40","41.65","41.80","-","0.50","41.80","223","41.85","4","23.75",
"1231","聯華食","119,382","98","4,948,884","41.40","41.50","41.35","41.50","+","0.10","41.45","19","41.50","12","14.16",
"1232","大統益","29,499","51","3,483,381","118.00","118.50","117.50","118.50","+","0.50","117.50","4","118.50","9","20.08",
"1233","天仁","27,000","19","981,600","35.55","36.80","35.55","35.80","+","0.25","35.70","2","36.30","1","27.12",
"1234","黑松","63,100","48","2,017,614","32.05","32.15","31.85","31.85","-","0.20","31.85","9","32.05","1","16.17",
"1235","興泰","7,225","8","186,887","26.10","26.10","25.60","25.60","+","0.10","25.50","2","25.55","1","36.57",
"1236","宏亞","23,000","11","273,650","11.90","11.90","11.85","11.85"," ","0.00","11.80","8","11.95","3","62.37",
"1256","鮮活果汁-KY","71,724","115","14,562,420","202.50","204.00","201.00","203.50","+","0.50","203.50","4","204.50","3","14.68",
"1702","南僑","233,189","202","10,267,916","44.25","44.40","43.90","43.95","-","0.30","43.90","15","44.00","2","12.89",
"1737","臺鹽","255,728","141","7,937,818","30.95","31.15","30.90","31.00","+","0.05","31.00","9","31.10","14","19.62",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

