"109年04月08日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,999,023","921","40,267,205","20.20","20.25","20.00","20.20","+","0.15","20.15","45","20.20","38","7.57",
"1203","味王","97,576","65","2,608,027","26.30","27.10","26.30","26.65","+","0.35","26.55","4","26.65","2","13.88",
"1210","大成","2,486,780","1,254","92,536,980","37.10","37.45","37.00","37.15","+","0.10","37.15","66","37.25","8","12.72",
"1213","大飲","27,031","19","158,315","5.36","6.00","5.36","5.99","+","0.27","5.60","3","6.00","2","",
"1215","卜蜂","884,601","695","53,138,118","59.70","60.50","59.70","60.00","+","0.40","60.00","38","60.10","1","10.99",
"1216","統一","9,998,101","4,701","704,812,189","69.00","71.00","69.00","70.20","+","1.20","70.20","31","70.30","15","20.96",
"1217","愛之味","2,647,830","874","18,256,959","6.94","6.94","6.87","6.90","-","0.01","6.90","6","6.92","14","69.00",
"1218","泰山","1,672,365","649","38,406,863","23.00","23.30","22.75","22.90","-","0.10","22.90","64","22.95","13","19.08",
"1219","福壽","63,120","148","1,147,411","18.25","18.40","17.95","18.10","+","0.05","18.10","1","18.25","3","28.73",
"1220","台榮","76,200","48","775,009","10.20","10.25","10.05","10.25","+","0.05","10.25","1","10.30","15","14.44",
"1225","福懋油","187,009","125","6,339,056","34.25","34.30","33.50","34.00","-","0.25","33.50","22","34.00","4","21.94",
"1227","佳格","1,430,014","1,161","92,004,184","64.20","65.40","63.60","63.60","-","0.20","63.60","27","63.70","1","16.91",
"1229","聯華","4,336,173","2,265","166,642,485","38.50","38.60","38.30","38.45","+","0.15","38.40","122","38.45","39","15.26",
"1231","聯華食","262,863","185","10,305,910","39.20","39.35","39.10","39.15","+","0.05","39.15","29","39.20","6","13.05",
"1232","大統益","92,060","100","10,387,340","113.00","113.50","112.50","113.00"," ","0.00","113.00","1","113.50","20","18.56",
"1233","天仁","29,105","31","990,685","34.05","34.10","33.85","34.10","+","0.30","34.05","1","34.10","19","19.71",
"1234","黑松","35,100","31","1,082,754","30.75","30.90","30.70","30.85","+","0.30","30.80","10","30.85","1","14.62",
"1235","興泰","325,996","57","7,642,754","23.40","23.65","23.35","23.60","-","0.10","23.60","1","23.65","3","48.16",
"1236","宏亞","85,736","67","894,950","10.55","10.60","10.30","10.55","+","0.10","10.50","6","10.60","5","70.33",
"1256","鮮活果汁-KY","145,889","177","26,948,799","177.50","191.50","177.50","189.50","+","12.00","189.50","2","190.00","1","11.70",
"1702","南僑","342,484","262","14,379,266","41.50","42.30","41.50","42.25","+","0.15","42.20","3","42.25","48","10.83",
"1737","臺鹽","278,289","221","8,175,328","29.30","29.50","29.10","29.50","+","0.25","29.45","34","29.50","31","17.05",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

