"109年07月03日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,220,906","521","28,123,893","23.15","23.15","22.95","23.00"," ","0.00","23.00","18","23.05","110","45.10",
"1203","味王","145,497","88","4,315,855","29.95","29.95","29.40","29.85","-","0.10","29.75","2","29.85","4","15.55",
"1210","大成","3,178,781","1,683","138,330,660","43.75","43.90","43.40","43.45","-","0.15","43.45","11","43.50","5","14.39",
"1213","大飲","18,003","11","106,685","6.00","6.00","5.90","5.95","-","0.05","5.85","1","6.00","7","",
"1215","卜蜂","1,180,386","868","81,347,561","69.20","69.60","68.40","68.90"," ","0.00","68.80","6","68.90","5","12.69",
"1216","統一","7,119,084","3,398","519,545,219","72.70","73.30","72.60","73.20","+","0.80","73.20","356","73.30","340","22.88",
"1217","愛之味","1,499,077","562","11,346,893","7.61","7.63","7.53","7.54","-","0.03","7.54","68","7.55","4","62.83",
"1218","泰山","900,884","311","21,069,820","23.40","23.50","23.30","23.45","+","0.10","23.40","13","23.45","21","18.91",
"1219","福壽","95,999","77","2,029,175","21.30","21.30","21.05","21.30"," ","0.00","21.25","1","21.30","13","15.66",
"1220","台榮","469,001","91","5,271,211","11.25","11.30","11.20","11.25"," ","0.00","11.25","4","11.30","84","15.00",
"1225","福懋油","56,061","45","2,138,173","38.50","38.55","37.95","38.10","-","0.05","38.00","8","38.15","10","24.58",
"1227","佳格","1,217,668","855","79,066,147","64.60","65.20","64.40","65.20","+","1.00","65.10","21","65.20","6","18.31",
"1229","聯華","2,772,406","1,488","119,869,192","43.00","43.50","43.00","43.45","+","0.55","43.45","67","43.50","67","24.69",
"1231","聯華食","237,242","176","10,395,848","43.80","43.90","43.75","43.85","+","0.05","43.80","1","43.85","6","14.97",
"1232","大統益","57,110","79","7,083,691","124.50","124.50","123.50","124.50","+","0.50","124.00","7","125.00","18","21.10",
"1233","天仁","41,298","40","1,548,923","37.40","38.10","37.05","38.10","+","0.70","38.00","9","38.20","6","28.86",
"1234","黑松","37,912","43","1,257,430","33.25","33.25","33.10","33.20","-","0.05","33.20","1","33.25","2","16.85",
"1235","興泰","6,414","8","164,757","25.70","25.75","25.55","25.75","+","0.05","25.60","1","25.80","7","36.79",
"1236","宏亞","33,702","32","429,235","12.80","12.85","12.50","12.65","+","0.05","12.65","1","12.70","2","66.58",
"1256","鮮活果汁-KY","33,500","72","7,020,500","210.00","210.50","208.50","209.50","+","0.50","209.00","1","209.50","1","15.12",
"1702","南僑","440,367","310","19,722,738","45.25","45.25","44.55","44.55","-","0.45","44.55","12","44.60","3","13.06",
"1737","臺鹽","112,928","102","3,540,795","31.35","31.40","31.25","31.40","+","0.05","31.40","3","31.45","18","19.87",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

