"109年05月15日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,714,464","791","37,912,980","22.30","22.55","21.80","22.00","-","0.15","22.00","96","22.15","6","43.14",
"1203","味王","140,416","101","3,866,929","27.70","27.95","26.80","27.80","-","0.20","27.70","1","28.00","6","14.48",
"1210","大成","4,345,805","2,564","185,839,124","42.60","43.15","42.00","42.80","+","0.90","42.80","17","42.85","54","14.17",
"1213","大飲","2,002","4","11,880","5.91","5.96","5.91","5.96","+","0.13","5.95","6","6.15","1","",
"1215","卜蜂","3,158,471","2,093","221,241,248","70.50","71.20","69.00","70.30","-","0.30","70.30","1","70.60","9","12.95",
"1216","統一","9,376,065","4,119","650,773,303","70.00","70.20","69.10","69.10","-","0.90","69.10","189","69.20","7","21.59",
"1217","愛之味","2,613,000","950","18,385,996","7.10","7.10","6.96","7.06","+","0.04","7.06","10","7.07","2","58.83",
"1218","泰山","1,764,710","881","43,482,802","24.65","24.90","24.10","24.80","+","0.45","24.75","11","24.80","14","20.00",
"1219","福壽","342,134","208","6,579,156","19.00","19.90","18.65","19.20","+","0.95","19.15","7","19.20","3","14.12",
"1220","台榮","353,525","89","3,681,234","10.50","10.55","10.35","10.45","-","0.05","10.40","77","10.45","3","13.93",
"1225","福懋油","261,005","181","9,551,780","37.80","37.80","36.05","36.15","-","1.45","36.15","1","36.20","2","23.32",
"1227","佳格","979,596","739","66,086,666","67.80","68.50","66.80","67.00","-","0.80","67.00","1","67.10","8","18.82",
"1229","聯華","5,449,779","3,073","223,178,151","41.60","41.60","40.40","41.25","+","0.15","41.25","1","41.30","42","23.44",
"1231","聯華食","256,927","184","10,550,765","41.20","41.40","40.70","41.05","-","0.15","41.00","17","41.05","5","14.01",
"1232","大統益","38,601","61","4,511,918","117.00","117.50","116.50","117.50"," ","0.00","117.00","2","117.50","7","19.92",
"1233","天仁","15,240","15","548,852","36.00","36.05","35.80","35.80","-","0.20","35.80","5","36.00","5","27.12",
"1234","黑松","29,063","30","923,800","31.75","31.90","31.70","31.90","+","0.15","31.75","2","31.80","1","16.19",
"1235","興泰","22,062","14","549,650","25.00","25.20","24.70","25.20","-","0.30","25.20","2","25.60","2","36.00",
"1236","宏亞","3,044","6","36,449","12.00","12.00","11.95","11.95"," ","0.00","11.90","1","12.00","26","62.89",
"1256","鮮活果汁-KY","72,509","208","14,275,791","198.50","198.50","195.00","197.50"," ","0.00","197.00","3","198.00","3","14.25",
"1702","南僑","201,299","146","8,877,304","44.35","44.60","43.70","44.20","-","0.15","44.20","6","44.25","1","12.96",
"1737","臺鹽","224,727","124","6,909,813","30.90","31.00","30.70","30.70","-","0.05","30.70","60","30.75","5","19.43",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

