"109年06月08日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,614,193","679","37,326,393","23.20","23.25","23.00","23.10","+","0.05","23.05","111","23.10","58","45.29",
"1203","味王","50,006","41","1,425,367","28.55","28.60","28.40","28.55"," ","0.00","28.45","20","28.55","1","14.87",
"1210","大成","3,661,872","2,391","160,105,963","44.45","44.45","43.30","43.80","-","0.40","43.80","17","43.85","9","14.50",
"1213","大飲","30,690","19","171,540","5.51","5.85","5.51","5.60","-","0.12","5.58","3","5.68","3","",
"1215","卜蜂","1,392,437","1,082","103,181,789","74.30","74.70","73.30","74.50","-","0.20","74.40","3","74.50","7","13.72",
"1216","統一","9,600,573","3,498","707,219,036","74.10","74.20","73.40","73.50","-","0.40","73.50","133","73.60","41","22.97",
"1217","愛之味","3,227,302","1,007","24,178,286","7.54","7.56","7.45","7.48","-","0.01","7.48","22","7.49","15","62.33",
"1218","泰山","2,556,300","995","64,377,617","25.30","25.30","25.05","25.25","+","0.15","25.25","12","25.30","112","20.36",
"1219","福壽","391,727","111","7,667,893","19.50","19.75","19.50","19.65","+","0.25","19.65","6","19.70","6","14.45",
"1220","台榮","413,004","79","4,492,790","10.85","10.90","10.80","10.90","+","0.05","10.85","33","10.90","11","14.53",
"1225","福懋油","322,966","206","12,388,535","38.00","38.80","37.85","38.80","+","0.90","38.75","9","38.80","13","25.03",
"1227","佳格","1,118,312","906","73,712,345","66.00","66.40","65.20","66.40","+","0.70","66.30","2","66.40","25","18.65",
"1229","聯華","3,346,309","1,993","143,207,567","42.55","43.15","42.45","43.10","+","0.65","43.10","37","43.15","42","24.49",
"1231","聯華食","434,394","320","18,522,812","42.70","42.75","42.40","42.70","+","0.40","42.65","1","42.70","3","14.57",
"1232","大統益","56,150","84","6,867,950","122.50","123.00","121.50","121.50","-","1.00","121.50","27","122.00","5","20.59",
"1233","天仁","34,650","37","1,265,075","36.55","36.55","36.45","36.50","+","0.05","36.45","5","36.60","3","27.65",
"1234","黑松","64,795","65","2,130,762","32.95","32.95","32.75","32.95"," ","0.00","32.90","3","32.95","3","16.73",
"1235","興泰","46,875","36","1,190,068","25.20","25.95","25.20","25.95","-","0.05","25.80","2","26.00","37","37.07",
"1236","宏亞","43,389","37","535,186","12.35","12.40","12.25","12.35"," ","0.00","12.30","6","12.35","3","65.00",
"1256","鮮活果汁-KY","95,617","139","20,712,123","216.50","217.50","216.00","217.00","+","1.50","217.00","3","217.50","4","15.66",
"1702","南僑","501,682","413","23,793,347","47.10","47.65","47.05","47.50","+","0.60","47.50","10","47.55","1","13.93",
"1737","臺鹽","303,277","181","9,620,972","31.75","31.85","31.60","31.70","-","0.05","31.65","10","31.70","10","20.06",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

