"109年06月24日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,696,045","745","38,885,172","22.80","23.05","22.80","23.00","+","0.25","22.95","31","23.00","150","45.10",
"1203","味王","87,295","51","2,553,805","29.20","29.45","29.15","29.20","+","0.10","29.15","4","29.20","1","15.21",
"1210","大成","1,254,868","683","53,999,048","43.20","43.30","42.90","43.05","-","0.05","43.05","21","43.15","20","14.26",
"1213","大飲","17,012","13","107,032","6.39","6.40","6.18","6.18","+","0.02","6.17","30","6.34","1","",
"1215","卜蜂","2,843,519","1,471","204,842,366","72.40","72.40","71.50","72.20","-","0.20","72.20","56","72.30","21","13.30",
"1216","統一","10,540,157","2,923","755,075,048","72.20","72.30","71.30","71.40","-","0.70","71.40","223","71.50","25","22.31",
"1217","愛之味","3,367,499","1,126","25,447,366","7.71","7.71","7.50","7.51","-","0.14","7.51","70","7.53","1","62.58",
"1218","泰山","970,597","449","22,465,763","23.45","23.45","23.05","23.10","-","0.25","23.10","32","23.15","9","18.63",
"1219","福壽","253,523","161","5,734,593","23.30","23.30","22.35","22.90","+","0.05","22.85","20","22.90","13","16.84",
"1220","台榮","170,097","94","1,899,936","11.10","11.25","11.10","11.25","+","0.10","11.25","6","11.30","22","15.00",
"1225","福懋油","36,073","30","1,348,026","37.35","37.45","37.25","37.40","+","0.05","37.40","2","37.45","9","24.13",
"1227","佳格","1,055,951","692","66,699,386","63.70","63.80","62.90","63.00","-","0.30","63.00","123","63.10","2","17.70",
"1229","聯華","1,054,893","657","45,030,706","42.85","42.85","42.60","42.65","+","0.10","42.65","68","42.70","7","24.23",
"1231","聯華食","254,483","182","10,884,263","42.75","42.90","42.60","42.90","+","0.30","42.75","10","42.90","14","14.64",
"1232","大統益","34,167","41","4,188,124","122.00","123.00","122.00","123.00","+","1.00","122.50","1","123.00","10","20.85",
"1233","天仁","27,094","25","980,649","36.25","36.35","36.00","36.35","+","0.10","36.35","3","36.45","1","27.54",
"1234","黑松","166,351","73","5,515,983","33.00","33.25","33.00","33.05","+","0.05","33.10","1","33.20","3","16.78",
"1235","興泰","2,652","3","67,560","25.35","25.65","25.35","25.65"," ","0.00","25.50","1","25.65","2","36.64",
"1236","宏亞","51,095","50","627,345","12.35","12.45","12.15","12.30","-","0.05","12.15","11","12.25","1","64.74",
"1256","鮮活果汁-KY","33,719","73","7,116,428","211.50","214.00","210.00","211.00","-","0.50","210.50","2","211.50","1","15.22",
"1702","南僑","182,421","150","8,323,450","45.80","45.80","45.50","45.65"," ","0.00","45.65","27","45.70","3","13.39",
"1737","臺鹽","185,842","110","5,802,482","31.15","31.30","31.15","31.30","+","0.15","31.15","34","31.30","8","19.81",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

