"109年05月04日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","2,182,510","890","46,684,336","21.50","21.55","21.20","21.40","-","0.45","21.40","73","21.45","20","8.02",
"1203","味王","39,154","36","1,079,422","27.65","27.65","27.45","27.45","-","0.25","27.40","2","27.60","2","14.30",
"1210","大成","2,236,253","1,425","91,418,070","41.05","41.05","40.60","40.85","-","0.60","40.85","18","40.90","4","13.99",
"1213","大飲","12,001","7","68,675","5.53","5.74","5.53","5.74","-","0.23","5.62","2","5.90","2","",
"1215","卜蜂","1,332,098","738","84,116,739","62.80","63.80","62.20","63.60","+","0.50","63.40","5","63.70","35","11.65",
"1216","統一","9,501,639","5,060","649,152,168","68.00","68.90","67.70","68.30","-","1.20","68.30","45","68.40","2","20.39",
"1217","愛之味","2,252,156","619","15,980,428","7.15","7.15","7.07","7.07","-","0.09","7.07","86","7.08","1","70.70",
"1218","泰山","930,062","466","21,738,739","23.30","23.70","23.10","23.35","-","0.20","23.35","14","23.45","3","19.46",
"1219","福壽","17,115","21","319,292","18.70","18.70","18.65","18.65","-","0.05","18.65","9","18.70","12","29.60",
"1220","台榮","404,312","126","4,308,536","10.55","10.80","10.50","10.75","+","0.15","10.70","18","10.75","63","15.14",
"1225","福懋油","342,269","213","13,055,022","38.80","38.80","37.80","37.90","-","1.00","37.90","9","38.25","2","24.45",
"1227","佳格","1,314,224","989","85,940,612","64.00","66.20","63.90","65.80","-","1.50","65.70","11","65.80","2","17.50",
"1229","聯華","4,386,098","2,421","188,781,203","42.75","43.50","42.25","43.45","+","0.35","43.40","18","43.50","135","17.24",
"1231","聯華食","256,600","220","10,507,456","41.20","41.20","40.60","40.90","-","0.35","40.90","2","41.00","6","13.63",
"1232","大統益","48,258","74","5,619,444","117.00","117.50","115.50","117.50","-","0.50","117.00","1","117.50","2","19.92",
"1233","天仁","15,084","18","538,334","36.05","36.05","35.25","35.50","-","0.55","35.50","1","36.00","2","20.52",
"1234","黑松","66,140","61","2,110,163","32.10","32.10","31.60","31.90","-","0.50","31.90","4","31.95","4","15.12",
"1235","興泰","93,245","36","2,434,144","25.75","26.35","25.75","26.35","+","0.05","26.20","2","26.35","2","53.78",
"1236","宏亞","59,101","40","730,299","12.60","12.60","12.00","12.45","-","0.25","12.20","4","12.50","22","83.00",
"1256","鮮活果汁-KY","69,945","129","14,021,890","200.00","202.00","198.50","200.50","-","2.50","200.50","1","202.00","1","12.38",
"1702","南僑","358,731","285","15,853,278","44.70","44.70","43.85","44.20","-","1.10","44.15","5","44.20","21","11.33",
"1737","臺鹽","319,228","180","9,833,797","30.95","31.00","30.65","30.75","-","0.40","30.75","3","30.80","2","17.77",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

