"109年04月13日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,229,765","600","24,821,422","20.30","20.35","20.05","20.10","-","0.25","20.10","109","20.15","2","7.53",
"1203","味王","81,266","64","2,182,548","26.75","26.95","26.75","26.75"," ","0.00","26.75","5","26.85","2","13.93",
"1210","大成","1,873,977","1,225","70,606,768","37.85","37.90","37.35","37.65","-","0.15","37.65","67","37.70","16","12.89",
"1213","大飲","2,274","11","13,167","5.90","5.90","5.90","5.90","X","0.00","5.90","1","6.10","2","",
"1215","卜蜂","1,047,086","758","63,937,154","60.90","61.80","60.00","61.10","+","0.60","61.10","7","61.20","8","11.19",
"1216","統一","4,326,039","2,137","296,126,955","68.30","69.30","68.10","68.10","-","0.90","68.10","252","68.50","42","20.33",
"1217","愛之味","3,771,995","1,329","26,598,561","7.04","7.14","7.00","7.01","+","0.06","7.01","266","7.02","12","70.10",
"1218","泰山","877,102","433","20,139,177","23.15","23.15","22.85","22.95","-","0.20","22.95","9","23.00","17","19.12",
"1219","福壽","29,724","559","540,341","18.05","18.25","18.05","18.20"," ","0.00","18.20","4","18.25","18","28.89",
"1220","台榮","135,000","55","1,397,350","10.40","10.40","10.25","10.25","-","0.10","10.25","5","10.35","8","14.44",
"1225","福懋油","336,053","107","11,367,204","33.90","34.00","33.75","34.00","+","0.05","34.00","1","34.15","2","21.94",
"1227","佳格","498,268","410","31,366,745","62.70","63.50","62.50","62.90"," ","0.00","62.90","5","63.00","5","16.73",
"1229","聯華","7,029,474","3,608","277,049,147","39.20","39.95","38.80","39.45","+","0.60","39.45","48","39.50","10","15.65",
"1231","聯華食","310,699","268","12,255,589","39.05","39.85","38.95","39.70","+","0.75","39.65","14","39.70","14","13.23",
"1232","大統益","80,154","111","9,084,624","113.50","114.00","112.50","113.50","-","1.00","113.00","11","113.50","1","18.64",
"1233","天仁","25,006","25","851,975","34.00","34.50","34.00","34.00","-","0.30","34.00","4","34.15","1","19.65",
"1234","黑松","140,580","101","4,282,517","30.95","30.95","30.30","30.55","-","0.30","30.45","3","30.75","1","14.48",
"1235","興泰","375,124","26","8,742,626","23.15","23.75","23.15","23.75","+","0.20","23.60","1","23.70","3","48.47",
"1236","宏亞","114,000","76","1,299,250","10.90","11.80","10.90","11.40","+","0.50","11.35","8","11.45","4","76.00",
"1256","鮮活果汁-KY","47,201","109","8,902,891","187.00","189.50","186.00","189.50","+","1.50","189.50","2","190.00","8","11.70",
"1702","南僑","233,906","251","9,777,581","41.75","41.90","41.65","41.80","-","0.35","41.80","1","41.90","31","10.72",
"1737","臺鹽","224,234","182","6,736,484","30.00","30.20","29.85","30.10","+","0.15","30.10","2","30.15","16","17.40",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

