"109年06月16日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","867,393","455","19,111,611","21.85","22.20","21.75","22.15","+","0.40","22.10","13","22.15","11","43.43",
"1203","味王","61,074","34","1,744,708","28.50","28.70","28.40","28.55","+","0.20","28.50","6","28.60","4","14.87",
"1210","大成","1,635,524","1,004","70,429,527","43.20","43.50","42.70","43.10","+","0.40","43.10","43","43.15","25","14.27",
"1213","大飲","36,475","23","215,480","5.88","6.00","5.71","6.00","+","0.29","5.86","1","6.15","2","",
"1215","卜蜂","1,000,706","712","73,834,660","74.00","74.40","73.30","73.90","+","0.60","73.90","31","74.00","6","13.61",
"1216","統一","12,402,619","4,366","899,701,587","71.10","73.40","71.10","73.30","+","2.70","73.20","101","73.30","18","22.91",
"1217","愛之味","8,258,150","2,371","63,139,230","7.50","7.85","7.43","7.53","+","0.15","7.53","18","7.54","5","62.75",
"1218","泰山","818,324","455","19,105,540","23.25","23.45","23.20","23.35","+","0.35","23.35","33","23.40","53","18.83",
"1219","福壽","70,045","56","1,405,450","19.85","20.25","19.80","20.10","+","0.25","20.10","9","20.15","10","14.78",
"1220","台榮","88,039","51","950,266","10.80","10.80","10.75","10.80","+","0.05","10.80","19","10.85","38","14.40",
"1225","福懋油","112,754","92","4,167,698","36.30","37.45","36.30","37.20","+","0.25","37.15","1","37.20","2","24.00",
"1227","佳格","1,558,542","715","99,156,529","63.70","64.10","63.00","64.10","+","1.10","64.00","9","64.10","6","18.01",
"1229","聯華","1,548,351","1,046","65,111,877","41.95","42.40","41.90","42.10","+","0.25","42.05","5","42.10","26","23.92",
"1231","聯華食","244,048","178","10,326,470","42.00","42.50","42.00","42.20","+","0.10","42.15","3","42.30","1","14.40",
"1232","大統益","47,523","52","5,842,064","122.50","123.50","122.50","122.50","+","0.50","122.50","3","123.50","21","20.76",
"1233","天仁","16,000","13","578,700","35.80","36.40","35.80","36.35","+","0.45","36.05","2","36.35","2","27.54",
"1234","黑松","116,327","88","3,759,292","32.35","32.45","32.20","32.40","+","0.05","32.35","15","32.40","1","16.45",
"1235","興泰","33,469","27","850,554","25.60","25.70","25.30","25.60"," ","0.00","25.60","1","25.70","1","36.57",
"1236","宏亞","52,356","46","635,926","12.20","12.25","12.10","12.15","+","0.05","12.10","3","12.15","16","63.95",
"1256","鮮活果汁-KY","44,419","96","9,348,111","210.50","211.00","209.00","211.00","+","1.00","210.50","4","211.50","1","15.22",
"1702","南僑","191,209","173","8,643,443","44.90","45.45","44.90","45.20","+","0.40","45.15","8","45.20","1","13.26",
"1737","臺鹽","116,755","82","3,642,602","31.10","31.45","31.05","31.30","+","0.25","31.25","9","31.40","19","19.81",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

