"109年06月01日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,210,632","486","27,124,435","22.35","22.50","22.25","22.45","+","0.20","22.40","13","22.45","124","44.02",
"1203","味王","87,707","61","2,491,254","28.30","28.55","28.30","28.55","+","0.35","28.30","10","28.55","4","14.87",
"1210","大成","2,147,514","1,396","93,806,236","43.30","43.95","43.30","43.70","+","0.70","43.65","13","43.70","45","14.47",
"1213","大飲","169","4","959","--","--","--","--"," ","0.00","5.79","2","6.01","1","",
"1215","卜蜂","1,164,517","748","85,031,578","72.40","73.30","72.40","73.10","+","0.70","73.10","4","73.20","96","13.46",
"1216","統一","8,148,063","3,773","600,069,991","73.50","74.20","73.00","73.40","+","0.60","73.30","2","73.40","40","22.94",
"1217","愛之味","1,762,486","633","12,531,774","7.09","7.14","7.07","7.12","+","0.10","7.11","60","7.12","54","59.33",
"1218","泰山","2,685,676","1,278","67,042,109","24.65","25.10","24.65","25.10","+","0.75","25.05","16","25.10","125","20.24",
"1219","福壽","64,870","58","1,249,852","19.45","19.45","19.10","19.30","+","0.15","19.25","1","19.30","20","14.19",
"1220","台榮","206,003","73","2,228,381","10.80","10.90","10.75","10.75","-","0.05","10.75","31","10.80","12","14.33",
"1225","福懋油","102,109","88","3,861,696","38.30","38.30","37.60","37.60"," ","0.00","37.60","2","37.75","2","24.26",
"1227","佳格","2,065,804","1,243","133,181,554","64.40","65.50","63.60","64.20","+","0.70","64.20","35","64.30","1","18.03",
"1229","聯華","2,440,073","1,537","102,465,483","41.90","42.15","41.60","42.00","+","0.70","41.95","2","42.00","97","23.86",
"1231","聯華食","157,934","144","6,611,768","41.80","41.95","41.65","41.80"," ","0.00","41.80","11","41.90","1","14.27",
"1232","大統益","30,381","54","3,621,220","118.50","119.50","118.00","119.50","+","0.50","119.00","13","119.50","4","20.25",
"1233","天仁","35,050","26","1,264,970","36.20","36.35","35.75","36.05","+","0.10","36.05","1","36.35","1","27.31",
"1234","黑松","257,569","112","8,346,227","32.05","32.50","32.05","32.50","+","0.45","32.40","1","32.50","4","16.50",
"1235","興泰","1,000","1","25,850","25.85","25.85","25.85","25.85","+","0.10","25.60","7","26.00","2","36.93",
"1236","宏亞","21,017","19","252,472","12.00","12.05","12.00","12.00","+","0.05","12.00","3","12.05","8","63.16",
"1256","鮮活果汁-KY","114,704","133","24,396,064","209.00","214.50","209.00","214.50","+","5.50","214.00","9","214.50","6","15.48",
"1702","南僑","105,651","95","4,739,056","45.00","45.00","44.70","44.85","+","0.35","44.85","4","44.90","1","13.15",
"1737","臺鹽","311,430","170","9,808,143","31.40","31.60","31.30","31.60","+","0.35","31.50","2","31.60","40","20.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

