"109年04月15日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","3,319,176","1,417","68,866,874","20.50","21.15","20.30","20.50","+","0.10","20.50","11","20.55","29","7.68",
"1203","味王","142,390","83","3,827,259","26.95","26.95","26.80","26.95","+","0.10","26.90","1","26.95","10","14.04",
"1210","大成","4,357,017","2,238","171,635,738","38.60","39.75","38.60","39.70","+","1.25","39.60","1","39.70","65","13.60",
"1213","大飲","2,194","7","12,922","5.90","5.90","5.90","5.90"," ","0.00","5.80","1","5.90","5","",
"1215","卜蜂","1,562,214","997","97,883,408","61.80","63.70","61.80","63.00","+","1.30","62.90","1","63.00","63","11.54",
"1216","統一","13,614,473","6,390","927,156,290","68.00","68.50","68.00","68.00","-","0.10","68.00","345","68.10","5","20.30",
"1217","愛之味","2,649,344","882","18,688,921","7.10","7.12","7.02","7.02","-","0.03","7.02","63","7.04","17","70.20",
"1218","泰山","3,097,144","1,475","74,681,529","23.45","24.70","23.45","24.00","+","0.60","23.95","13","24.00","4","20.00",
"1219","福壽","362,954","360","6,699,287","18.35","18.70","18.20","18.25","-","0.05","18.25","28","18.40","3","28.97",
"1220","台榮","322,000","99","3,372,550","10.50","10.50","10.40","10.50","+","0.05","10.45","31","10.50","18","14.79",
"1225","福懋油","886,696","399","31,984,341","35.10","37.40","35.00","37.40","+","2.90","37.40","20","37.50","5","24.13",
"1227","佳格","1,304,825","908","84,698,997","64.20","65.30","64.20","65.30","+","1.40","65.10","2","65.30","27","17.37",
"1229","聯華","8,317,712","4,213","341,170,587","40.40","41.80","40.40","41.80","+","1.65","41.70","17","41.80","28","16.59",
"1231","聯華食","367,533","336","15,003,653","40.25","41.05","40.25","40.95","+","0.70","40.95","6","41.00","3","13.65",
"1232","大統益","110,628","111","12,782,415","115.00","117.50","114.50","117.50","+","3.00","116.50","9","117.50","3","19.29",
"1233","天仁","15,060","16","523,450","34.75","34.80","34.70","34.75","+","0.45","34.75","1","34.80","11","20.09",
"1234","黑松","180,098","126","5,553,638","30.95","31.10","30.70","30.85","+","0.05","30.80","2","31.05","2","14.62",
"1235","興泰","271,000","42","6,374,850","23.50","23.80","23.45","23.80","+","0.05","23.75","2","23.80","2","48.57",
"1236","宏亞","144,489","46","1,696,964","11.70","11.85","11.70","11.75","+","0.05","11.75","6","11.80","4","78.33",
"1256","鮮活果汁-KY","108,219","135","21,158,581","193.00","197.00","192.50","197.00","+","4.00","196.50","2","197.00","4","12.16",
"1702","南僑","743,699","643","31,809,003","42.25","43.55","42.20","43.50","+","1.40","43.45","5","43.55","5","11.15",
"1737","臺鹽","302,139","259","9,228,013","30.50","30.80","30.40","30.60","+","0.10","30.60","6","30.65","2","17.69",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

