"109年04月22日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","2,046,217","874","41,622,121","20.30","20.85","19.95","20.80","+","0.30","20.80","29","20.85","34","7.79",
"1203","味王","67,126","57","1,822,961","27.00","27.25","27.00","27.25","+","0.25","27.20","1","27.25","8","14.19",
"1210","大成","1,477,395","862","56,618,760","38.40","38.70","37.95","38.55","-","0.10","38.55","25","38.60","2","13.20",
"1213","大飲","4,229","8","25,286","5.85","6.05","5.85","6.05","X","0.00","5.55","3","6.00","5","",
"1215","卜蜂","695,364","406","42,360,381","60.20","61.40","60.10","61.40","+","0.40","61.30","5","61.40","22","11.25",
"1216","統一","8,927,358","4,111","596,733,589","66.00","67.50","65.80","67.10","+","1.10","67.10","16","67.20","2","20.03",
"1217","愛之味","1,966,325","791","13,762,994","6.98","7.06","6.92","7.02","+","0.04","7.02","25","7.04","31","70.20",
"1218","泰山","738,012","431","16,917,876","22.65","23.15","22.40","23.00","+","0.30","23.00","10","23.05","5","19.17",
"1219","福壽","178,597","66","3,296,772","18.30","18.55","18.30","18.50"," ","0.00","18.40","2","18.55","4","29.37",
"1220","台榮","94,000","48","960,300","10.15","10.35","10.10","10.35","+","0.15","10.25","12","10.35","15","14.58",
"1225","福懋油","453,255","193","16,660,095","36.80","38.00","35.55","38.00","+","0.95","37.75","2","38.00","8","24.52",
"1227","佳格","985,715","795","64,904,341","65.90","66.80","65.20","66.50","+","0.10","66.40","6","66.50","18","17.69",
"1229","聯華","4,860,938","2,340","196,261,086","40.35","40.90","39.80","40.85","+","0.20","40.85","12","40.90","87","16.21",
"1231","聯華食","178,267","160","7,069,061","39.50","40.10","39.05","40.10","+","0.40","40.05","4","40.10","3","13.37",
"1232","大統益","47,087","78","5,326,418","112.00","114.00","112.00","114.00","+","0.50","113.50","1","114.00","4","18.72",
"1233","天仁","4,000","2","136,400","34.10","34.10","34.10","34.10","+","0.10","34.20","4","34.50","1","19.71",
"1234","黑松","37,510","28","1,140,854","30.40","30.50","30.30","30.40","-","0.05","30.40","13","30.60","2","14.41",
"1235","興泰","333,100","58","8,064,180","24.00","24.35","24.00","24.30","+","0.40","24.30","2","24.35","18","49.59",
"1236","宏亞","161,470","67","1,878,790","11.35","12.20","11.20","11.75","+","0.65","11.75","8","11.85","1","78.33",
"1256","鮮活果汁-KY","36,696","89","6,917,740","187.50","190.00","185.50","190.00","+","0.50","189.50","1","191.00","1","11.73",
"1702","南僑","278,204","191","11,386,978","41.30","41.30","40.45","41.30","-","0.20","41.20","1","41.30","3","10.59",
"1737","臺鹽","149,913","105","4,496,411","30.00","30.50","29.50","30.45","+","0.45","30.10","1","30.45","11","17.60",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

