"109年07月07日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,627,784","603","37,752,523","23.30","23.30","23.10","23.25","+","0.05","23.20","44","23.25","83","45.59",
"1203","味王","68,799","65","2,045,525","29.80","29.95","29.60","29.95","+","0.15","29.80","2","29.95","7","15.60",
"1210","大成","2,660,850","1,501","116,727,309","43.70","44.20","43.65","43.80","+","0.20","43.80","30","43.85","9","14.50",
"1213","大飲","61,500","35","358,847","5.66","6.00","5.66","5.98","+","0.03","5.80","3","6.00","3","",
"1215","卜蜂","1,108,725","773","75,661,206","68.80","69.00","68.00","68.00","-","0.70","68.00","226","68.10","5","12.52",
"1216","統一","13,688,264","4,743","1,002,697,589","73.80","73.80","72.80","73.20","-","0.60","73.20","18","73.30","92","22.88",
"1217","愛之味","3,554,298","1,118","26,651,098","7.64","7.65","7.43","7.44","-","0.16","7.44","49","7.46","27","62.00",
"1218","泰山","1,580,007","572","37,307,760","23.95","24.00","23.40","23.60","-","0.20","23.55","5","23.60","29","19.03",
"1219","福壽","136,931","92","2,952,223","21.90","22.00","21.40","21.50","-","0.35","21.50","2","21.55","26","15.81",
"1220","台榮","269,100","116","3,042,439","11.25","11.40","11.25","11.30","+","0.05","11.30","7","11.35","31","15.07",
"1225","福懋油","625,072","126","23,948,342","37.95","38.90","37.95","38.80","+","0.85","38.80","1","38.85","1","25.03",
"1227","佳格","2,357,847","1,511","156,177,216","65.90","66.80","65.60","66.50","+","0.80","66.50","389","66.60","32","18.68",
"1229","聯華","2,598,396","1,489","113,732,208","44.20","44.20","43.45","43.75","-","0.20","43.75","116","43.80","27","24.86",
"1231","聯華食","280,500","249","12,341,559","44.50","44.60","43.80","43.90","-","0.30","43.85","10","43.95","1","14.98",
"1232","大統益","141,201","143","17,736,826","125.50","126.00","125.00","126.00","+","1.00","125.50","22","126.00","26","21.36",
"1233","天仁","46,275","32","1,761,134","38.15","38.20","37.80","38.20","+","0.05","37.95","4","38.20","10","28.94",
"1234","黑松","223,639","129","7,581,208","34.00","34.20","33.60","34.10","+","0.30","33.85","2","34.10","3","17.31",
"1235","興泰","1,031,558","65","26,867,123","25.95","26.30","25.90","26.30","+","0.45","26.25","3","26.30","2","37.57",
"1236","宏亞","71,788","59","926,510","12.75","13.20","12.70","13.00","+","0.25","12.85","12","12.95","4","68.42",
"1256","鮮活果汁-KY","74,689","96","16,055,664","214.00","216.00","213.50","215.50","+","2.50","214.50","2","215.50","4","15.55",
"1702","南僑","702,232","510","31,413,142","44.60","45.20","44.55","44.60","+","0.05","44.60","9","44.65","12","13.08",
"1737","臺鹽","219,964","189","6,929,806","31.60","31.65","31.40","31.45","-","0.10","31.45","27","31.50","19","19.91",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

