"109年04月21日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","4,047,978","1,834","84,276,376","21.50","21.50","20.50","20.50","-","1.10","20.50","151","20.60","14","7.68",
"1203","味王","70,866","64","1,913,844","27.25","27.25","26.85","27.00","-","0.05","26.95","2","27.10","3","14.06",
"1210","大成","2,199,951","1,337","85,625,389","39.60","39.60","38.55","38.65","-","0.80","38.65","27","38.70","4","13.24",
"1213","大飲","103","6","608","--","--","--","--"," ","0.00","5.61","3","5.98","2","",
"1215","卜蜂","1,475,356","916","90,669,715","62.60","62.60","60.60","61.00","-","1.60","61.00","30","61.10","5","11.17",
"1216","統一","14,805,274","8,242","988,158,651","67.50","67.80","66.00","66.00","-","1.80","66.00","572","66.30","22","19.70",
"1217","愛之味","4,571,930","1,556","32,297,172","7.23","7.23","6.98","6.98","-","0.25","6.98","96","7.00","6","69.80",
"1218","泰山","1,697,257","730","39,300,353","23.90","23.90","22.70","22.70","-","1.15","22.70","34","22.75","4","18.92",
"1219","福壽","199,500","74","3,688,148","18.50","18.55","18.35","18.50"," ","0.00","18.45","7","18.50","2","29.37",
"1220","台榮","143,000","70","1,462,750","10.35","10.35","10.15","10.20","-","0.15","10.20","10","10.25","10","14.37",
"1225","福懋油","932,022","463","35,697,930","38.80","39.80","37.00","37.05","-","1.85","37.00","43","37.20","2","23.90",
"1227","佳格","1,542,831","1,191","102,629,069","67.80","67.80","65.60","66.40","-","1.80","66.40","23","66.50","19","17.66",
"1229","聯華","6,209,692","3,484","253,836,218","41.05","41.35","40.60","40.65","-","0.25","40.65","182","40.70","13","16.13",
"1231","聯華食","462,618","401","18,489,190","40.80","40.80","39.35","39.70","-","1.10","39.70","26","39.75","9","13.23",
"1232","大統益","207,797","238","23,679,751","116.50","116.50","112.50","113.50","-","3.00","113.00","16","113.50","1","18.64",
"1233","天仁","22,000","20","757,100","34.95","34.95","33.80","34.00","-","0.80","34.00","6","34.75","1","19.65",
"1234","黑松","90,250","90","2,755,920","30.95","30.95","30.35","30.45","-","0.50","30.40","12","30.45","1","14.43",
"1235","興泰","375,547","40","8,887,085","24.75","24.75","23.60","23.90","-","0.05","23.80","2","23.90","2","48.78",
"1236","宏亞","55,005","33","626,605","11.65","11.65","11.10","11.10","-","0.55","11.25","4","11.60","6","74.00",
"1256","鮮活果汁-KY","104,362","228","19,874,642","194.00","194.00","188.00","189.50","-","6.50","189.50","2","190.00","2","11.70",
"1702","南僑","469,224","440","19,647,907","42.90","42.90","41.50","41.50","-","1.60","41.50","69","41.55","1","10.64",
"1737","臺鹽","479,054","300","14,402,330","30.65","30.65","29.80","30.00","-","0.65","29.95","5","30.00","4","17.34",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

