"109年05月11日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","4,026,502","1,834","92,278,594","22.80","23.30","22.70","22.85","+","0.35","22.85","26","22.90","9","8.56",
"1203","味王","47,977","48","1,350,949","28.40","28.40","27.90","28.05"," ","0.00","28.05","11","28.15","5","14.61",
"1210","大成","4,028,211","2,775","172,786,373","43.20","43.25","42.55","43.00","-","0.35","42.95","9","43.00","129","14.73",
"1213","大飲","20,201","13","124,957","6.28","6.28","6.05","6.19","+","0.18","6.19","8","6.25","2","",
"1215","卜蜂","3,666,213","2,430","256,649,908","70.20","70.60","68.50","70.50","+","0.60","70.30","4","70.50","3","12.91",
"1216","統一","5,012,056","2,498","356,947,476","71.20","71.80","70.90","71.00","+","0.10","70.90","121","71.00","8","21.19",
"1217","愛之味","2,769,044","791","20,023,809","7.23","7.27","7.20","7.24","+","0.03","7.24","23","7.25","29","72.40",
"1218","泰山","702,581","346","16,970,467","24.10","24.40","24.05","24.05"," ","0.00","24.00","49","24.10","3","20.04",
"1219","福壽","53,123","36","987,890","18.70","18.70","18.55","18.65","-","0.05","18.55","4","18.65","11","29.60",
"1220","台榮","369,010","78","3,913,500","10.70","10.70","10.55","10.60","-","0.05","10.60","5","10.65","33","14.93",
"1225","福懋油","244,001","91","9,256,687","37.90","38.00","37.75","37.90","+","0.05","37.90","3","37.95","1","24.45",
"1227","佳格","377,681","351","24,924,446","66.60","66.60","65.60","65.80","+","0.20","65.80","34","66.00","6","17.50",
"1229","聯華","5,642,695","3,332","254,084,106","45.60","45.65","44.80","44.90","-","0.50","44.85","169","44.90","5","17.82",
"1231","聯華食","245,441","211","10,282,172","41.90","42.00","41.85","41.85"," ","0.00","41.80","58","41.85","1","13.95",
"1232","大統益","41,184","70","4,844,798","117.50","118.00","117.00","118.00","+","0.50","117.50","12","118.00","5","20.00",
"1233","天仁","24,030","19","873,595","36.05","36.50","36.05","36.50","+","0.45","36.15","2","36.30","1","21.10",
"1234","黑松","109,368","80","3,514,708","32.20","32.20","31.95","32.10","-","0.15","32.10","5","32.15","1","16.29",
"1235","興泰","10,250","9","276,750","27.00","27.05","27.00","27.05","+","0.25","26.45","2","27.05","5","55.20",
"1236","宏亞","24,150","20","297,118","12.20","12.50","12.15","12.50","+","0.30","12.30","1","12.50","3","83.33",
"1256","鮮活果汁-KY","88,034","144","17,689,902","201.00","202.00","199.50","201.50","+","1.00","200.50","4","201.50","5","14.54",
"1702","南僑","211,177","157","9,568,501","45.50","45.50","45.05","45.25","+","0.20","45.25","3","45.30","6","11.60",
"1737","臺鹽","371,957","149","11,537,367","31.00","31.05","30.95","31.00","+","0.05","30.95","19","31.00","77","19.62",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

