"109年06月05日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","2,120,638","913","48,837,302","23.00","23.15","22.90","23.05","+","0.20","23.05","13","23.10","134","45.20",
"1203","味王","46,244","36","1,317,826","28.60","28.60","28.45","28.55"," ","0.00","28.45","21","28.55","2","14.87",
"1210","大成","2,535,804","1,319","111,926,431","44.15","44.35","43.90","44.20","+","0.05","44.20","12","44.25","7","14.64",
"1213","大飲","19,030","17","107,254","5.64","5.88","5.46","5.72","+","0.01","5.72","5","5.87","2","",
"1215","卜蜂","1,034,067","727","77,202,681","75.00","75.00","74.10","74.70"," ","0.00","74.60","54","74.70","89","13.76",
"1216","統一","6,604,879","2,631","488,692,520","74.50","74.50","73.70","73.90","-","0.70","73.90","78","74.00","8","23.09",
"1217","愛之味","4,654,883","1,462","34,678,790","7.46","7.53","7.36","7.49","+","0.01","7.48","15","7.49","21","62.42",
"1218","泰山","1,691,759","662","42,310,404","24.85","25.10","24.85","25.10","+","0.35","25.05","6","25.10","722","20.24",
"1219","福壽","79,854","57","1,544,992","19.30","19.40","19.30","19.40","+","0.15","19.35","2","19.40","44","14.26",
"1220","台榮","357,050","95","3,885,783","10.80","10.90","10.75","10.85"," ","0.00","10.85","21","10.90","20","14.47",
"1225","福懋油","86,535","62","3,281,222","37.90","38.00","37.80","37.90"," ","0.00","37.90","11","38.00","24","24.45",
"1227","佳格","934,802","711","61,516,803","65.40","66.10","65.40","65.70","+","0.30","65.70","11","66.00","36","18.46",
"1229","聯華","1,285,518","892","54,548,912","42.45","42.50","42.30","42.45","+","0.05","42.45","68","42.50","107","24.12",
"1231","聯華食","266,642","180","11,253,045","42.10","42.35","41.95","42.30","+","0.20","42.25","16","42.30","4","14.44",
"1232","大統益","35,832","51","4,391,746","123.00","123.00","122.00","122.50","-","0.50","122.50","2","123.00","6","20.76",
"1233","天仁","12,100","14","440,763","36.40","36.45","36.40","36.45","+","0.05","36.45","1","36.55","4","27.61",
"1234","黑松","82,141","63","2,699,344","33.00","33.00","32.80","32.95","-","0.05","32.85","5","33.00","10","16.73",
"1235","興泰","3,017","4","78,238","25.85","26.00","25.85","26.00"," ","0.00","25.95","2","26.00","8","37.14",
"1236","宏亞","67,775","47","840,764","12.15","12.50","12.15","12.35","+","0.20","12.25","1","12.35","5","65.00",
"1256","鮮活果汁-KY","50,207","77","10,794,516","214.00","215.50","214.00","215.50","+","3.00","215.00","5","215.50","4","15.55",
"1702","南僑","331,232","257","15,488,904","46.50","47.00","46.50","46.90","+","0.60","46.80","4","46.90","10","13.75",
"1737","臺鹽","250,928","129","7,964,653","31.85","31.85","31.65","31.75"," ","0.00","31.70","164","31.80","32","20.09",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

