"109年06月30日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,610,341","681","37,265,921","23.10","23.30","23.00","23.00","+","0.05","23.00","85","23.10","2","45.10",
"1203","味王","126,012","47","3,718,752","29.50","29.60","29.40","29.45","+","0.05","29.45","11","29.50","13","15.34",
"1210","大成","988,956","656","42,256,256","42.80","42.90","42.65","42.65","+","0.05","42.65","18","42.85","36","14.12",
"1213","大飲","76,000","23","453,700","6.10","6.10","5.83","6.00","-","0.10","5.90","1","6.11","2","",
"1215","卜蜂","1,529,014","1,186","104,245,454","67.80","68.80","67.60","68.20","+","0.90","68.10","46","68.20","22","12.56",
"1216","統一","10,759,466","3,667","768,425,436","71.90","72.00","71.30","71.30","-","0.50","71.30","84","71.40","55","22.28",
"1217","愛之味","1,893,928","711","14,364,287","7.60","7.63","7.54","7.62","+","0.10","7.60","5","7.62","31","63.50",
"1218","泰山","682,834","288","15,782,396","23.00","23.15","23.00","23.15","+","0.40","23.15","15","23.20","100","18.67",
"1219","福壽","266,416","148","5,728,268","21.55","21.80","21.20","21.35","-","0.15","21.35","5","21.50","32","15.70",
"1220","台榮","129,000","62","1,439,600","11.20","11.20","11.10","11.20"," ","0.00","11.15","16","11.20","30","14.93",
"1225","福懋油","23,000","22","866,750","37.60","37.80","37.45","37.75","+","0.35","37.70","3","37.75","1","24.35",
"1227","佳格","1,071,055","689","67,684,553","63.00","64.00","62.80","63.00","+","0.50","63.00","44","63.40","22","17.70",
"1229","聯華","1,346,062","739","57,434,888","42.90","42.90","42.50","42.50"," ","0.00","42.50","195","42.70","2","24.15",
"1231","聯華食","502,708","371","22,021,509","43.95","44.00","43.60","43.75","+","0.55","43.75","10","43.85","7","14.93",
"1232","大統益","54,386","78","6,636,280","122.50","123.00","121.50","122.00"," ","0.00","122.00","1","122.50","5","20.68",
"1233","天仁","36,934","34","1,350,199","36.50","36.70","36.50","36.50","+","0.10","36.50","5","36.60","1","27.65",
"1234","黑松","21,310","24","701,397","32.95","33.00","32.85","33.00","+","0.05","32.90","2","33.00","2","16.75",
"1235","興泰","19,250","13","491,725","25.60","25.80","25.35","25.55","-","0.05","25.45","2","25.55","1","36.50",
"1236","宏亞","31,410","24","388,393","12.20","12.50","12.20","12.40","+","0.20","12.35","3","12.40","2","65.26",
"1256","鮮活果汁-KY","21,394","93","4,456,528","207.50","209.00","207.50","209.00","+","1.50","207.50","5","209.00","1","15.08",
"1702","南僑","813,746","491","37,451,649","46.00","46.30","45.85","46.00","+","0.40","46.00","36","46.05","7","13.49",
"1737","臺鹽","130,235","73","4,072,279","31.35","31.35","31.25","31.25"," ","0.00","31.20","17","31.30","24","19.78",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

