"109年05月28日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,425,176","560","31,703,792","22.20","22.45","22.10","22.15","+","0.05","22.15","20","22.20","1","43.43",
"1203","味王","50,932","57","1,432,896","28.30","28.35","28.00","28.00","-","0.30","28.00","11","28.10","2","14.58",
"1210","大成","2,094,126","1,207","91,985,480","44.15","44.50","43.75","43.75","-","0.40","43.75","7","43.80","4","14.49",
"1213","大飲","335","5","1,877","--","--","--","--"," ","0.00","5.62","2","6.09","2","",
"1215","卜蜂","1,099,700","863","79,438,700","72.50","72.80","71.60","72.00","-","0.30","72.00","33","72.10","1","13.26",
"1216","統一","8,364,435","3,069","601,343,520","72.80","72.80","71.50","71.50","-","0.90","71.50","24","71.60","125","22.34",
"1217","愛之味","1,330,417","427","9,377,855","7.09","7.10","7.02","7.03","-","0.02","7.03","32","7.07","21","58.58",
"1218","泰山","1,185,479","616","28,785,912","24.60","24.60","24.00","24.25","-","0.20","24.25","1","24.30","5","19.56",
"1219","福壽","48,461","32","919,880","19.00","19.05","18.95","19.05","+","0.05","19.00","3","19.05","2","14.01",
"1220","台榮","152,163","78","1,648,282","10.85","10.90","10.80","10.80","-","0.05","10.75","22","10.80","8","14.40",
"1225","福懋油","107,534","81","4,002,133","37.00","37.50","36.90","37.05","+","0.25","37.05","2","37.10","2","23.90",
"1227","佳格","1,007,763","727","66,020,669","66.10","66.60","65.10","65.10","-","0.90","65.10","50","65.20","13","18.29",
"1229","聯華","2,139,568","1,286","89,266,770","41.90","41.90","41.55","41.65","-","0.15","41.60","17","41.65","8","23.66",
"1231","聯華食","276,952","163","11,569,346","42.00","42.00","41.35","41.70","-","0.20","41.70","1","41.75","1","14.23",
"1232","大統益","27,622","38","3,274,640","118.50","119.00","118.00","119.00"," ","0.00","118.50","1","119.00","16","20.17",
"1233","天仁","20,089","19","720,754","35.80","36.00","35.80","35.85","-","0.05","35.80","1","35.95","3","27.16",
"1234","黑松","76,863","59","2,467,991","32.10","32.30","31.85","32.00","-","0.20","31.95","3","32.00","2","16.24",
"1235","興泰","8,201","9","210,505","25.50","26.30","25.30","25.60","+","0.10","25.60","1","25.80","5","36.57",
"1236","宏亞","38,510","36","459,818","12.00","12.00","11.80","11.90","-","0.05","11.85","8","11.95","7","62.63",
"1256","鮮活果汁-KY","54,347","102","11,217,829","206.00","208.00","205.50","206.00","-","1.00","205.50","1","206.50","3","14.86",
"1702","南僑","207,189","166","9,279,191","45.10","45.10","44.60","44.65","-","0.45","44.60","22","44.75","5","13.09",
"1737","臺鹽","208,132","115","6,500,952","31.45","31.45","31.10","31.10","-","0.10","31.10","10","31.20","17","19.68",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

