"109年06月09日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,400,759","695","32,224,757","23.20","23.20","22.90","22.90","-","0.20","22.90","77","22.95","18","44.90",
"1203","味王","65,854","53","1,873,863","28.30","28.60","28.20","28.35","-","0.20","28.35","24","28.50","10","14.77",
"1210","大成","2,434,363","1,270","105,986,030","43.80","43.90","43.35","43.55","-","0.25","43.55","28","43.60","1","14.42",
"1213","大飲","13,001","5","72,805","5.60","5.60","5.60","5.60"," ","0.00","5.60","4","5.70","1","",
"1215","卜蜂","1,518,468","1,034","111,857,784","74.50","74.50","73.10","73.30","-","1.20","73.30","6","73.40","5","13.50",
"1216","統一","8,373,982","2,578","616,541,940","73.00","74.00","72.80","73.90","+","0.40","73.80","2","73.90","165","23.09",
"1217","愛之味","1,988,214","775","14,772,281","7.50","7.50","7.40","7.43","-","0.05","7.42","78","7.43","15","61.92",
"1218","泰山","1,765,447","747","42,759,442","24.35","24.35","24.00","24.20","X","0.00","24.15","32","24.20","4","19.52",
"1219","福壽","152,431","97","3,029,284","19.65","20.10","19.65","19.85","+","0.20","19.85","5","19.90","1","14.60",
"1220","台榮","314,511","64","3,422,445","10.90","10.90","10.85","10.90"," ","0.00","10.85","31","10.90","18","14.53",
"1225","福懋油","199,239","148","7,772,654","39.45","39.45","38.65","38.90","+","0.10","38.75","6","38.90","12","25.10",
"1227","佳格","1,752,584","1,443","114,792,302","66.20","66.20","64.50","65.50","-","0.90","65.50","6","65.80","5","18.40",
"1229","聯華","1,947,778","1,208","83,864,525","43.15","43.20","42.80","43.15","+","0.05","43.15","40","43.20","56","24.52",
"1231","聯華食","251,689","190","10,692,755","42.70","42.70","42.25","42.55","-","0.15","42.50","4","42.55","13","14.52",
"1232","大統益","50,310","70","6,192,780","122.00","124.00","122.00","123.50","+","2.00","122.50","5","123.50","11","20.93",
"1233","天仁","10,041","10","366,558","36.50","36.60","36.45","36.60","+","0.10","36.50","1","36.60","3","27.73",
"1234","黑松","57,338","55","1,885,882","32.80","33.00","32.80","32.95"," ","0.00","32.95","5","33.00","17","16.73",
"1235","興泰","1,000","1","26,000","26.00","26.00","26.00","26.00","+","0.05","25.75","3","26.00","12","37.14",
"1236","宏亞","42,010","27","516,125","12.35","12.35","12.25","12.25","-","0.10","12.20","5","12.30","9","64.47",
"1256","鮮活果汁-KY","34,417","83","7,454,693","217.00","217.00","216.00","216.00","-","1.00","216.00","1","217.00","5","15.58",
"1702","南僑","503,888","359","24,071,854","48.15","48.15","47.50","47.50"," ","0.00","47.50","49","47.55","1","13.93",
"1737","臺鹽","157,088","117","4,969,128","31.60","31.75","31.55","31.75","+","0.05","31.70","9","31.75","14","20.09",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

