"109年04月20日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","2,988,535","1,322","63,270,176","20.65","21.60","20.50","21.60","+","0.95","21.55","23","21.60","3","8.09",
"1203","味王","112,037","76","3,031,499","27.05","27.15","27.00","27.05","+","0.05","27.10","2","27.15","8","14.09",
"1210","大成","2,393,139","1,477","94,118,151","38.90","39.60","38.90","39.45","+","0.65","39.40","30","39.45","22","13.51",
"1213","大飲","0","0","0","--","--","--","--"," ","0.00","5.68","3","5.95","1","",
"1215","卜蜂","451,569","369","28,305,121","62.90","62.90","62.50","62.60"," ","0.00","62.60","4","62.70","18","11.47",
"1216","統一","11,058,785","3,892","751,289,539","67.80","68.40","67.60","67.80"," ","0.00","67.70","51","67.80","9","20.24",
"1217","愛之味","11,829,628","3,311","84,625,396","6.97","7.25","6.95","7.23","+","0.30","7.22","91","7.24","45","72.30",
"1218","泰山","1,320,650","521","30,931,647","23.55","23.85","23.00","23.85","+","0.35","23.85","6","23.90","56","19.88",
"1219","福壽","245,900","98","4,557,749","18.60","18.80","18.45","18.50","+","0.05","18.50","4","18.55","5","29.37",
"1220","台榮","124,538","69","1,288,590","10.40","10.40","10.30","10.35","-","0.05","10.30","18","10.35","16","14.58",
"1225","福懋油","759,425","321","29,055,225","37.90","39.00","37.00","38.90","+","1.15","38.90","10","38.95","10","25.10",
"1227","佳格","1,913,549","1,341","129,297,966","66.10","68.20","66.10","68.20","+","2.60","68.10","5","68.20","101","18.14",
"1229","聯華","4,900,257","2,349","198,976,458","40.65","41.10","40.05","40.90","+","0.45","40.85","26","40.90","81","16.23",
"1231","聯華食","248,712","210","10,145,158","40.55","40.95","40.55","40.80","+","0.25","40.80","3","40.85","1","13.60",
"1232","大統益","37,208","65","4,339,044","117.00","117.00","116.00","116.50","-","0.50","116.50","2","117.00","9","19.13",
"1233","天仁","17,300","17","602,970","35.00","35.00","34.70","34.80","-","0.15","34.80","1","34.90","1","20.12",
"1234","黑松","42,657","41","1,317,399","31.00","31.00","30.80","30.95","-","0.10","30.95","2","31.00","13","14.67",
"1235","興泰","356,232","24","8,469,593","23.65","24.20","23.65","23.95","+","0.15","23.85","1","23.95","1","48.88",
"1236","宏亞","68,001","19","778,712","11.60","11.65","11.40","11.65","+","0.05","11.50","1","11.65","9","77.67",
"1256","鮮活果汁-KY","37,833","112","7,363,268","195.00","196.00","193.00","196.00","+","1.00","195.00","1","197.00","5","12.10",
"1702","南僑","148,182","240","6,384,137","43.20","43.20","42.80","43.10","-","0.10","43.05","10","43.10","1","11.05",
"1737","臺鹽","162,116","126","4,939,294","30.40","30.75","30.30","30.65","+","0.30","30.60","2","30.65","9","17.72",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

