"109年06月29日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,558,364","669","35,745,327","22.85","23.25","22.80","22.95","-","0.05","22.90","6","22.95","20","45.00",
"1203","味王","87,331","88","2,563,012","29.75","29.75","29.15","29.40","+","0.20","29.15","2","29.40","1","15.31",
"1210","大成","1,448,871","896","61,857,024","42.85","42.90","42.55","42.60","-","0.45","42.60","12","42.65","18","14.11",
"1213","大飲","29,100","17","178,806","6.10","6.38","6.01","6.10","-","0.08","6.10","2","6.42","2","",
"1215","卜蜂","4,201,996","2,053","284,603,611","68.00","68.30","67.00","67.30","X","0.00","67.20","63","67.30","11","12.39",
"1216","統一","9,600,128","4,106","686,732,216","71.80","72.20","71.00","71.80","+","0.40","71.60","24","71.80","185","22.44",
"1217","愛之味","2,855,920","967","21,568,030","7.51","7.66","7.47","7.52","+","0.01","7.51","18","7.52","42","62.67",
"1218","泰山","1,219,267","571","27,882,109","23.00","23.10","22.70","22.75","-","0.35","22.75","36","22.80","29","18.35",
"1219","福壽","478,433","237","10,440,307","23.00","23.00","21.05","21.50","-","1.40","21.20","12","21.50","5","15.81",
"1220","台榮","65,100","41","728,314","11.25","11.25","11.15","11.20","-","0.05","11.15","29","11.20","19","14.93",
"1225","福懋油","72,688","63","2,687,879","37.00","37.40","36.75","37.40"," ","0.00","37.20","1","37.40","1","24.13",
"1227","佳格","1,182,346","902","73,971,494","63.00","63.00","62.30","62.50","-","0.50","62.50","88","62.60","18","17.56",
"1229","聯華","1,631,905","899","69,439,169","42.50","42.70","42.40","42.50","-","0.15","42.50","130","42.55","1","24.15",
"1231","聯華食","496,808","391","21,471,331","42.90","43.70","42.85","43.20","+","0.30","43.15","3","43.30","3","14.74",
"1232","大統益","91,350","100","11,104,550","122.00","122.00","121.00","122.00","-","1.00","121.50","4","122.00","7","20.68",
"1233","天仁","14,512","19","525,582","36.35","36.40","36.05","36.40","+","0.05","36.35","3","36.45","2","27.58",
"1234","黑松","68,703","52","2,260,558","33.05","33.05","32.80","32.95","-","0.10","32.95","11","33.00","6","16.73",
"1235","興泰","21,785","16","552,939","25.30","25.60","25.15","25.60","-","0.05","25.45","2","25.60","4","36.57",
"1236","宏亞","9,002","40","110,320","12.15","12.20","12.15","12.20","-","0.10","12.15","4","12.20","2","64.21",
"1256","鮮活果汁-KY","70,936","167","14,728,078","209.00","210.00","205.00","207.50","-","3.50","207.50","1","209.00","2","14.97",
"1702","南僑","240,633","194","10,935,338","45.65","45.65","45.35","45.60","-","0.05","45.50","1","45.60","5","13.37",
"1737","臺鹽","176,463","117","5,508,013","31.10","31.30","31.10","31.25","-","0.05","31.10","12","31.25","8","19.78",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

