"109年06月19日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","1,870,126","649","42,129,401","22.40","22.70","22.40","22.65","+","0.30","22.65","19","22.70","60","44.41",
"1203","味王","92,330","47","2,653,534","28.70","28.85","28.65","28.85","+","0.10","28.70","5","28.85","3","15.03",
"1210","大成","2,926,285","1,531","126,945,788","43.90","43.90","43.10","43.10","-","0.70","43.05","25","43.10","162","14.27",
"1213","大飲","58,923","31","374,658","6.20","6.48","6.20","6.33","+","0.33","6.20","1","6.33","4","",
"1215","卜蜂","2,386,230","1,730","172,447,969","73.00","73.10","71.90","72.20","-","0.90","72.20","27","72.30","6","13.30",
"1216","統一","18,900,757","5,866","1,352,694,493","72.50","72.70","71.20","71.20","-","1.30","71.20","214","71.50","306","22.25",
"1217","愛之味","10,589,855","2,866","82,981,816","7.80","8.00","7.68","7.68","-","0.02","7.67","75","7.68","352","64.00",
"1218","泰山","2,348,056","1,079","56,180,282","23.50","24.25","23.45","23.85","+","0.40","23.75","25","23.85","28","19.23",
"1219","福壽","1,290,416","807","31,225,513","25.50","25.50","22.90","23.00","-","1.30","23.00","47","23.05","6","16.91",
"1220","台榮","209,001","93","2,338,411","11.20","11.25","11.15","11.15","-","0.05","11.15","1","11.20","54","14.87",
"1225","福懋油","72,145","57","2,724,723","38.45","38.45","37.60","37.70","-","0.20","37.70","1","37.80","5","24.32",
"1227","佳格","1,037,188","579","66,201,801","64.00","64.00","63.40","63.90","+","0.10","63.80","175","63.90","1","17.95",
"1229","聯華","2,876,222","1,109","122,643,146","42.30","42.85","42.30","42.85","+","0.55","42.80","6","42.85","27","24.35",
"1231","聯華食","213,008","153","9,074,385","42.50","42.75","42.40","42.75","+","0.35","42.75","5","42.80","23","14.59",
"1232","大統益","64,445","42","7,869,455","123.00","123.00","122.00","122.00"," ","0.00","122.00","4","122.50","8","20.68",
"1233","天仁","17,000","16","622,250","36.35","36.95","36.35","36.65","+","0.35","36.65","2","36.90","2","27.77",
"1234","黑松","73,715","51","2,415,785","32.80","32.85","32.55","32.55","-","0.15","32.65","1","32.75","1","16.52",
"1235","興泰","3,150","5","81,005","25.90","25.90","25.60","25.65"," ","0.00","25.65","1","25.85","22","36.64",
"1236","宏亞","102,411","53","1,246,516","12.35","12.35","12.10","12.15","-","0.20","12.15","4","12.20","5","63.95",
"1256","鮮活果汁-KY","15,028","65","3,136,880","208.00","209.00","207.50","209.00"," ","0.00","208.50","3","209.00","3","15.08",
"1702","南僑","413,359","270","18,612,884","45.60","45.60","44.75","44.75","-","0.85","44.70","30","44.75","236","13.12",
"1737","臺鹽","609,999","337","18,806,857","31.20","31.20","30.70","30.70","-","0.50","30.65","1","30.70","102","19.43",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

